charge code,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
18701,8191,7691,307,193,5555,8132,7632,7265,8049,7914,5.93
18702,5777,5598,100,79,5135,5747,5456,5468,5719,5739,6.05
18703,6936,6771,73,92,6410,6914,6495,6701,6902,6917,5.32
18704,6279,6182,46,51,5456,6266,6039,6039,6238,6265,5.64
18705,11503,11041,143,319,10004,11466,10996,10970,11340,11447,5.93
18706,10032,9530,295,207,9833,9894,7974,7989,9779,9895,6.49
18707,10549,9793,479,277,9808,10371,8258,9424,10269,10448,6.63
18601,8638,7330,1040,268,7821,8399,3449,5855,8074,8272,7.64
18602,11243,10131,806,306,9362,11053,7688,9492,10813,10952,6.39
18603,17881,16438,1025,418,15580,17567,11155,13392,17091,17540,6.54
18604,10071,8447,1366,258,9856,9939,3021,6471,9550,9685,7.77
18605,5532,5395,72,65,5108,5506,5189,4673,5440,5515,5.95
18606,4812,4664,64,84,4506,4789,4622,4497,4744,4809,5.92
18607,2969,2915,28,26,2933,2962,2920,2821,2947,2967,5.61
18608,8198,7921,181,96,8104,8150,7952,7548,8121,8191,6.4
18609,1418,1383,24,11,1397,1404,1385,1089,1396,1407,5.94
18610,3572,3411,19,142,3523,3551,3390,3475,3545,3565,6.15
18611,1417,1403,2,12,1287,1413,1349,1347,1406,1411,5.73
18612,6322,6239,33,50,5693,6285,5920,5774,6281,6303,6.01
18801,9249,8589,532,128,7978,9209,8737,8182,9149,9239,6.15
18802,4360,4273,31,56,3402,4352,4224,3680,4301,4344,5.72
18803,8524,8315,97,112,6937,8490,8130,8244,8432,8496,5.78
18804,8353,8185,100,68,7270,8331,8096,7986,8314,8284,5.63
18805,8523,8289,114,120,7320,8457,8213,7549,8456,8501,6.03
18806,13058,12803,100,155,10265,13002,12367,12467,12918,13037,5.85
18807,8002,7826,117,59,4074,7896,7644,6380,7948,7987,5.77
18808,12747,12487,161,99,10485,12708,11747,11263,12655,12728,6.09
18809,10058,9753,133,172,8488,10022,9517,8875,9853,10049,6.4
18810,8347,8175,74,98,8102,8328,7386,7965,8258,8338,6.49
18811,25591,24988,360,243,18453,25468,23824,23434,25370,25511,5.66
18501,89045,81840,2946,4259,76276,87019,74487,76019,86168,87612,5.96
18502,1739,1452,239,48,1687,1711,1139,1155,1642,1666,6.79
18503,9306,9112,95,99,8172,9274,8938,8806,9220,9297,6.15
18504,6788,6495,224,69,6690,6735,6086,6277,6737,6757,6.24
18505,9436,8248,928,260,9080,9346,7045,7178,9133,9403,6.57
18506,15322,14622,451,249,14084,15194,14008,12972,15098,15241,6.29
18507,7631,6902,502,227,7020,7573,6659,6739,7467,7602,6.48
18508,14229,12940,991,298,13844,14028,11052,11954,14022,14152,6.79
18509,13537,12447,845,245,13377,13363,12019,11604,13377,13269,5.92
18510,10461,9898,385,178,10313,10332,9404,8916,10310,10387,6.26
18511,12508,11955,323,230,12192,12425,11529,11221,12302,12377,6.92
18512,12315,11906,229,180,11638,12219,11306,9589,11731,12258,6.56
18513,4841,4616,52,173,4550,4699,4487,4562,4783,4837,6.4
18514,5389,5078,183,128,5239,5360,4833,4705,5304,5381,6.75
18515,4457,4317,77,63,3584,4445,4196,3383,4409,4454,6.42
18516,4383,3977,255,151,4168,4348,3687,3213,4084,4253,6.37
18517,3483,2852,513,118,3392,3471,3181,2957,3420,3465,5.95
18518,5759,4715,808,236,5700,5704,5506,4732,5681,5735,6.21
18519,4442,3261,788,393,4350,4425,4020,3765,4374,4423,6.21
18520,2714,2190,341,183,2664,2684,2401,2585,2666,2703,6.14
18521,3418,2290,847,281,3368,3392,3198,3072,3377,3398,5.83
18522,3612,3030,487,95,3481,3607,3326,2950,3557,3596,6.09
18523,3652,3478,92,82,2587,3626,3461,3356,3599,3627,6.23
18524,3773,3496,201,76,3556,3748,3616,3548,3720,3771,6.02
18525,3723,3658,35,30,3050,3720,3650,3673,3706,3722,6.28
18526,4871,4784,30,57,4046,4860,4630,4639,4839,4860,6.5
18527,3219,3036,145,38,2551,3193,3072,2967,3179,3217,6.51
18528,3493,3424,29,40,2753,3485,3414,3376,3468,3488,6.68
18529,4018,3851,115,52,3303,3998,3755,3508,3962,4008,6.09
18530,1640,1625,4,11,1621,1631,1580,1627,1633,1637,6.29
18531,3430,3376,29,25,3122,3420,3347,2625,3407,3428,6.56
18532,5244,5145,71,28,5186,5232,5052,4867,5213,5233,6.14
18533,3701,3610,46,45,3094,3691,3596,3637,3665,3694,6.91
18534,3063,2777,172,114,2763,2998,1520,1798,2903,3022,6.99
18535,5260,5161,35,64,4711,5235,5104,5096,5192,5246,6.55
18536,15688,15173,206,309,12943,15621,15035,14130,15368,15630,6.72
18537,2794,2756,14,24,2767,2793,2446,2775,2772,2791,5.88
18538,7797,7645,88,64,7602,7786,7568,7585,7745,7761,5.67
18539,6529,6371,109,49,6435,6518,6269,6157,6508,6527,5.99
18540,4500,3951,407,142,3915,4487,4249,4106,4438,4424,5.86
18541,4914,4811,72,31,4441,4899,4790,4817,4880,4905,5.81
18542,3107,3038,46,23,2739,3097,2980,3006,3087,3098,5.73
18543,4602,4330,84,188,4330,4594,4430,4411,4421,4598,6.05
18544,6675,6543,38,94,5236,6655,6529,6485,6598,6651,6.29
18545,7087,6704,119,264,6607,6899,6330,6605,6742,7035,6.44
18546,8133,7888,174,71,7924,8101,7854,7512,8076,8095,6.21
18547,10999,9786,830,383,10622,10849,6369,7601,10754,10836,6.66
18548,11347,11120,106,121,9154,11302,10855,10537,11246,11327,6.46
18549,6418,6337,27,54,6049,6398,5995,6296,6385,6394,6.13
18550,6954,6814,26,114,4891,6925,6662,6650,6844,6923,6.27
18551,6667,6563,67,37,6514,6644,6531,6542,6632,6652,5.6
18552,6589,6452,75,62,6400,6543,6354,6466,6543,6580,6.19
18553,7299,7134,100,65,6804,7280,6940,6858,7262,7153,6.05
18554,14628,14174,211,243,13303,14432,13664,13891,14406,14545,5.91
18555,13377,12799,305,273,12630,13322,12434,12684,13130,13335,6.05
18556,9110,8928,68,114,8397,9061,8693,8756,9035,8630,6.31
18557,21759,19458,1413,888,20289,21310,15898,18109,21109,21396,6.65
18558,13817,13111,217,489,12680,13418,12748,12168,13324,13201,6.13
18559,5738,5152,466,120,5121,5684,3869,4804,5646,5715,6.61
18560,7352,6838,196,318,7027,7091,6684,5722,7056,6868,6.38
18561,7633,7474,64,95,7507,7607,7277,7098,7516,7624,6.04
18562,8770,8147,405,218,8534,8721,7492,6724,8613,8637,6.76
18563,7171,6831,105,235,6918,7144,6895,6598,7042,7158,6.47
18564,6675,6259,240,176,6216,6640,5842,5263,6520,6649,7.23
18565,6432,6035,312,85,6064,6409,5867,5672,6364,6390,6.05
18566,7489,7283,104,102,7073,7470,7226,7366,7399,7469,5.76
18567,6090,5903,123,64,5458,6075,5804,5813,6044,6081,6.05
18568,7154,6870,222,62,6778,7112,6662,6852,7099,7125,5.89
18569,3216,2933,242,41,3090,3206,3045,3156,3208,3211,5.51
18570,5238,4333,629,276,4443,5190,4934,4549,5185,5219,5.73
25901,22819,20387,1873,559,20924,22332,12605,15175,21996,22499,6.48
25902,50339,47795,1476,1068,44604,49815,37151,42944,49251,50112,6.3
25903,27580,24817,2158,605,22679,27181,16115,19086,26254,27011,6.37
25904,47056,44729,1200,1127,41587,46241,32216,40083,46261,46661,6.04
25905,3877,3804,30,43,3382,3866,3724,3562,3842,3866,5.71
25906,2560,2518,16,26,2351,2537,2460,2329,2523,2546,5.78
25907,574,560,1,13,561,573,513,538,561,567,4.87
25908,3952,3874,16,62,3821,3933,3823,3828,3916,3937,6.17
25909,5610,5462,66,82,5322,5594,5282,5386,5562,5566,5.41
25910,7145,6631,185,329,6822,7096,6859,5995,6935,7130,6.3
25911,7553,7042,78,433,6987,7513,7099,7326,7274,7214,5.62
25912,16886,16220,205,461,14094,16769,15451,14617,16610,16609,5.96
25913,7965,7665,176,124,6265,7896,7709,7624,7871,7942,6.06
25914,6572,6421,71,80,5814,6513,6277,6278,6514,6539,6.03
25915,9588,9418,82,88,8269,9523,9196,7634,9502,9572,6.02
25916,40684,38110,802,1772,38126,40184,34192,33382,39045,39385,6.5
25917,11927,11576,154,197,10747,11838,11459,11423,11763,11903,6.2
25918,7790,7431,58,301,7382,7507,7082,7536,7531,7635,5.92
25919,6394,6148,167,79,6218,6316,5903,5961,6335,6341,6.43
25920,12383,12080,128,175,11636,12317,11813,11650,12243,12349,6.04
25921,6899,6737,83,79,6704,6861,6599,6333,6834,6851,6.27
25922,5619,5448,74,97,4682,5555,5218,5382,5559,5597,5.7
25923,11137,10655,291,191,8820,11059,10616,10024,10991,11073,5.52
25924,10228,9706,237,285,8885,10100,9515,8615,10074,10172,5.76
25925,12533,11956,188,389,10614,12340,10996,11348,12253,12377,5.61
25926,4605,4553,32,20,4187,4594,4382,4577,4587,4596,5.73
25927,6120,5885,141,94,5503,6073,5781,5437,6051,6099,5.99
25928,4507,4395,42,70,3280,4481,4222,4253,4455,4463,5.71
25929,4846,4663,135,48,4152,4833,4706,4751,4818,4832,6.01
25930,6183,6035,85,63,5148,6142,5918,6085,6123,6157,5.51
25931,6368,6212,73,83,6009,6346,5890,6090,6299,6356,6.1
25932,6201,6030,45,126,5603,6168,5968,5928,6094,6184,6.14
25933,9599,9211,281,107,8736,9559,9250,9323,9505,9559,5.94
25934,4255,4197,30,28,4049,4244,4057,4248,4231,4207,5.91
25935,4229,4143,34,52,3569,4209,4095,4149,4187,4220,5.67
25936,9190,8862,160,168,8462,9120,8701,8841,9071,9091,5.82
25937,4880,4803,33,44,3348,4844,4724,4635,4842,4242,5.89
25938,11137,10101,768,268,10688,10953,6486,6683,10782,11054,7.06
26001,30259,27778,1716,765,25213,29885,20128,23545,28497,29058,6.54
26002,11140,9802,963,375,10225,11011,5080,8067,10449,10790,7.31
26003,16092,14182,1418,492,13665,15791,9957,11193,15430,15594,6.76
26004,5757,5604,78,75,5228,5743,5551,5630,5710,5737,6.51
26005,3044,2821,153,70,2577,3033,2878,2198,3001,3037,6.31
26006,8257,8026,117,114,7811,8224,7955,7398,8176,8221,6.3
26007,7731,7502,108,121,6874,7694,7523,6269,7597,7712,6.61
26008,20592,19256,756,580,18692,20285,19000,18236,20155,20163,6.34
26009,8525,8362,76,87,8180,8505,8223,7968,8449,8504,6.2
26010,14138,13487,328,323,13408,14060,12661,11527,13837,14058,6.48
26011,2210,2121,64,25,1937,2208,2151,1835,2190,2208,6.28
26012,4529,4456,41,32,4477,4508,4336,4235,4507,4523,6.43
26013,3186,3020,116,50,2687,3164,3000,2680,3142,3164,6.12
26014,9749,9422,185,142,7190,9723,9205,8222,9633,9723,6.28
26015,4504,3948,380,176,4407,4478,3956,4036,4421,4476,5.89
26016,2063,2034,14,15,2054,2045,1957,2046,2058,2058,5.66
26017,2406,2205,149,52,2326,2385,2256,2365,2364,2373,6.22
26018,5502,5363,85,54,5321,5496,5416,5262,5470,5493,6.11
26019,3009,2920,65,24,2942,2999,2896,2856,2987,3006,5.75
26020,5149,5084,20,45,4455,5139,5034,4794,5029,5145,5.76
26021,9244,8920,211,113,8257,9218,8904,7850,9165,9226,6.12
26022,12321,11996,217,108,11288,12269,11292,10094,12224,12266,6.33
26023,7046,6882,97,67,6933,6999,6822,6444,6972,7032,6.41
26024,7343,7135,112,96,6840,7299,6905,6583,7253,7330,7.02
26025,8857,8050,499,308,7347,8721,6642,6735,8547,8834,7.07
26026,9192,8778,278,136,7035,9042,7514,7218,9017,9156,6.45
26027,14633,14118,313,202,13500,14428,13115,13324,14428,14585,6.29
26028,11136,10866,135,135,9292,11098,10519,10701,11027,11108,6.32
26029,7138,6961,76,101,5112,7112,6728,5571,7055,7114,5.99
26030,10419,10206,93,120,9336,10371,9820,10168,10313,10393,6.04
26031,9717,9498,117,102,9586,9661,9097,9136,9644,9683,6.3
26032,17143,16764,191,188,11866,17059,15986,16269,16961,17069,6.19
