charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
18501,540947,283351,257444,152,73.58,38.82,56215,43704,18,56012,48069,19,45704,39636,10,524407,16540,417141,329940,33409,142563,285460,76.6,79.32,100096,83135
18502,11834,6151,5677,6,58.38,83.33,1564,1382,4,498,566,1,39,43,,11657,177,8495,6258,666,3530,4497,57.94,57.51,3141,2185
18503,58236,29541,28688,7,83.52,28.57,8321,7055,,7164,7033,,2631,2827,,57246,990,44628,35025,3496,13996,29507,85.66,87.77,21036,17232
18504,42541,21788,20748,5,80.75,20,6059,5199,1,4972,4392,,1632,1685,,40395,2146,32354,25169,2370,8100,21438,83.02,85.2,15587,12313
18505,62745,32350,30382,13,66.65,46.15,8453,7063,1,4782,4368,3,970,991,1,61895,850,45883,34460,2907,14313,26316,69.75,72.69,15820,11678
18506,96830,50221,46607,2,72.55,,13197,10749,,10244,9108,,2716,2916,,95811,1019,72409,55692,4804,25868,44670,75.1,77.47,23544,17491
18507,50706,26871,23824,11,71.36,63.64,6382,4625,2,4775,4387,2,1382,1554,2,50076,630,37752,29018,2508,14128,23544,73.34,75.05,14844,11464
18508,97246,50708,46525,13,60.33,23.08,12100,9614,2,6554,5842,1,1359,1515,,96179,1067,71202,53754,4309,21079,41356,62.93,65.31,24962,18576
18509,80529,41653,38863,13,69.46,61.54,10615,9055,3,7165,6889,3,2181,1924,1,76207,4322,60801,46793,4368,19383,36561,71.14,72.69,25236,17753
18510,66040,34009,32020,11,73.82,45.45,9651,7943,3,6713,6222,1,1725,1800,,60896,5144,49772,38485,3431,13679,30537,75.92,77.89,17765,13034
18511,87940,46065,41852,23,63.84,39.13,11802,8913,8,6787,5970,1,1291,1469,,85827,2113,64470,48538,3781,20300,37942,67.03,69.91,22137,15508
18512,81340,42428,38901,11,71.93,18.18,11962,9322,1,6756,6608,1,1299,1627,,78941,2399,60700,46697,3972,21980,35947,73.64,75.21,21984,15781
18513,31601,16892,14709, ,81.14,,5220,3742,,3740,3428,,1027,1196,,31397,204,24338,19069,1661,5838,15833,82.34,83.37,11714,9493
18514,37177,19389,17788, ,75.49,,5119,3919,,4151,3828,,1267,1517,,36600,577,28304,21878,1897,8991,17974,77.35,79.03,12359,9700
18515,28888,15253,13627,8,77.69,75,4532,3423,4,2987,3037,1,697,832,,28485,403,22302,17539,1496,7006,14065,78.5,79.21,10472,7689
18516,29040,16333,12694,13,77.47,46.15,4769,3004,,2911,2722,3,604,747,,28904,136,22632,18239,1631,9295,14889,75.05,73.31,10009,7598
18517,24131,13438,10652,41,69.26,19.51,3802,2626,7,2314,2069,1,503,593,,23551,580,19436,15729,1429,7517,12305,67.88,67.01,10669,7914
18518,36363,19350,16998,15,73.14,46.67,5331,4147,2,3512,3741,2,644,717,,35381,982,28500,22507,2095,11921,17692,71.8,70.68,17384,12822
18519,28743,15762,12969,12,78.79,41.67,5081,3493,2,2870,3098,2,573,692,,28705,38,22903,18209,1643,9844,14480,76.28,74.36,11474,8563
18520,17133,9561,7571,1,82.45,,2977,2047,,1974,2105,,363,447,,17099,34,13808,10983,1012,4771,8985,78.78,75.97,8960,6737
18521,20791,11656,9127,8,81.76,75,3332,2113,4,2787,2548,2,599,676,,20533,258,16790,13508,1265,7008,11333,78.65,76.38,9370,7183
18522,23068,13117,9950,1,83.65,,4122,2616,,3120,2657,,617,707,,22713,355,18610,14815,1305,6833,12676,82.58,81.82,10891,8121
18523,23083,12245,10828,10,84.55,60,3455,2533,3,3027,2827,3,817,989,,22986,97,17965,14221,1392,5934,11881,84.48,84.44,9102,7090
18524,23030,12159,10869,2,86.85,50,3738,2844,,2870,2896,,678,906,,22935,95,18102,14439,1413,5840,12239,86.2,85.64,8792,6993
18525,23556,11904,11652, ,90.78,,3398,2679,,3622,3795,,1072,1483,,23476,80,18570,14806,1704,6600,12765,91.37,91.96,10302,8579
18526,31830,16593,15235,2,90.04,50,4363,3392,1,5009,4896,,1686,2041,,31467,363,25193,20182,2242,9571,17884,89.77,89.53,14667,12144
18527,21023,10858,10163,2,85.55,,3144,2543,,2793,2789,,859,1009,,21008,15,16566,13056,1319,6226,11043,86.68,87.76,9345,7266
18528,23551,12135,11414,2,86.27,100,3922,3205,1,3151,3079,,699,899,,22611,940,18488,14706,1386,6511,12419,86.53,86.76,9219,7240
18529,24590,12832,11756,2,79.69,100,3863,2980,,2853,2677,2,788,954,,23369,1221,19260,15357,1439,7817,13578,81.1,82.37,9498,7537
18530,10417,5320,5095,2,83.35,,1491,1161,,1424,1448,,471,560,,10387,30,8137,6456,680,3223,5538,84.36,85.36,4672,3731
18531,22735,11775,10959,1,80.95,100,3549,2746,1,2571,2981,,595,796,,22308,427,17690,13933,1318,6670,11616,80.1,79.29,8257,6303
18532,32427,16524,15890,13,80.92,69.23,5305,4308,5,3326,3680,3,716,988,,29661,2766,24729,19366,1838,8954,15475,81.51,82.09,12356,9203
18533,26636,13600,13034,2,87.68,50,3951,3269,1,3681,3655,,1023,1274,,26541,95,20434,16169,1711,6536,13602,88.82,89.94,9232,7309
18534,21553,11434,10114,5,51.12,,2406,1898,,1102,989,,131,146,,20126,1427,15462,11606,945,6697,7965,52.9,54.47,3588,2252
18535,34839,17573,17263,3,89.41,66.67,4853,4186,1,5093,5269,1,1509,1906,,34346,493,26919,21334,2354,9456,18338,89.69,89.98,11616,9249
18536,105915,54872,51027,16,74.92,25,15342,12216,2,9835,10744,1,1992,2528,,102670,3245,79704,62059,5352,29041,47088,75.41,75.88,28028,19975
18537,16582,8554,8020,8,88.68,50,2158,1784,2,2332,2244,2,1256,1216,,16460,122,13271,10646,1258,4383,9285,90.25,91.77,3553,2985
18538,44604,22682,21919,3,91.64,100,5155,4436,2,6533,6513,,3953,4029,,44098,506,35628,28879,3812,12894,26433,92.29,92.91,16151,14999
18539,39558,20045,19512,1,85.73,,4902,4042,,5603,5544,,2648,2735,,39353,205,31323,25290,2831,11568,21955,87.16,88.54,15303,12978
18540,31805,17576,14227,2,85.68,50,4576,3271,,5095,4217,,2445,1974,,30982,823,26607,21794,1867,7018,19261,85.98,86.23,14453,11676
18541,29024,14987,14031,6,90.53,83.33,3687,3061,3,3990,4035,2,2165,2104,,28769,255,23201,18729,2097,6366,16731,90.6,90.66,11629,10172
18542,18020,9195,8823,2,94.17,100,2092,1784,2,2907,2893,,1717,1793,,17929,91,14749,12035,1457,4475,10942,94.22,94.27,6589,6125
18543,28219,14439,13778,2,91.35,100,3362,2982,1,4416,4370,,2445,2308,,28081,138,22925,18713,2190,8474,16836,91.87,92.36,13109,11455
18544,42222,21530,20686,6,86.29,,5764,4787,,5763,5853,,2303,2386,,41765,457,33328,26651,2874,9916,23242,87.07,87.86,14787,12429
18545,48080,25007,23057,16,81.56,75,5496,4494,2,6493,6276,4,2770,2852,5,47868,212,37555,29589,3380,13417,26496,81.89,82.19,15365,13142
18546,50938,26194,24730,14,78.7,28.57,6442,5163,3,6111,6374,1,2444,2473,,47818,3120,39739,31429,3214,15165,27047,79.6,80.48,19427,15547
18547,74882,39909,34943,30,47.12,30,7713,5753,5,3470,2974,1,545,529,,67283,7599,54532,41106,3065,18202,30630,49.73,51.99,15008,10088
18548,74053,37578,36470,5,85.47,80,9693,8439,,9482,9404,,3773,3973,2,71674,2379,57701,46012,5000,15339,39935,86.78,88.05,25808,21367
18549,40210,20568,19631,11,92.69,54.55,4459,3811,1,6327,6206,5,3778,3714,,39434,776,32334,26117,3293,8999,23934,93.63,94.55,15391,13591
18550,43866,22336,21529,1,90.75,100,4843,4127,,6465,6333,,4149,4093,1,43144,722,34700,27743,3538,11759,25180,92.24,93.7,16805,14756
18551,37764,19544,18209,11,86.02,36.36,5323,4246,,5091,5159,3,2082,2182,1,36722,1042,29619,23577,2486,11039,20437,86.66,87.3,13822,11568
