circle code,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
1870101,1292,1196,46,50,644,1263,1031,1079,1243,1220,6.12
1870102,612,556,46,10,442,606,596,468,601,608,6.18
1870103,859,739,89,31,851,855,837,790,849,857,5.79
1870104,493,428,63,2,362,486,479,487,491,310,5.6
1870105,371,343,26,2,369,370,364,357,368,368,5.99
1870106,572,540,24,8,533,567,567,495,570,570,5.83
1870107,757,744,7,6,328,756,718,745,755,754,5.67
1870108,1906,1848,5,53,1284,1902,1830,1605,1864,1899,5.97
1870109,1329,1297,1,31,742,1327,1210,1239,1308,1328,5.93
1870201,822,810,7,5,812,822,780,771,819,820,5.43
1870202,1837,1797,26,14,1528,1836,1810,1791,1827,1827,6.06
1870203,3118,2991,67,60,2795,3089,2866,2906,3073,3092,6.21
1870301,1100,1086,12,2,1097,1097,1026,1099,1100,1094,5.18
1870302,1784,1769,4,11,1758,1779,1637,1783,1779,1784,5.16
1870303,674,652,4,18,370,671,606,592,660,673,5.06
1870304,761,750,9,2,709,759,744,750,758,752,4.77
1870305,1800,1707,42,51,1670,1795,1676,1663,1790,1798,5.91
1870306,817,807,2,8,806,813,806,814,815,816,5.32
1870401,988,970,11,7,718,987,939,978,985,987,5.28
1870402,1406,1388,6,12,1376,1401,1269,1393,1395,1400,5.2
1870403,920,910,2,8,466,918,912,914,912,918,4.93
1870404,697,694,1,2,653,696,687,647,695,697,6.61
1870405,803,795,1,7,799,802,792,712,801,803,5.8
1870406,852,815,23,14,831,851,831,823,838,847,6.29
1870407,613,610,2,1,613,611,609,572,612,613,6.08
1870501,610,606,3,1,539,610,601,605,610,610,4.83
1870502,334,331,3,,328,333,296,295,331,333,4.63
1870503,1523,1437,29,57,1043,1515,1427,1505,1464,1511,5.14
1870504,3972,3741,34,197,3927,3958,3873,3583,3936,3967,6.32
1870505,3055,3008,22,25,2783,3049,2819,3013,3023,3034,5.52
1870506,2009,1918,52,39,1384,2001,1980,1969,1976,1992,6.92
1870601,2558,2462,48,48,2511,2549,2329,2410,2491,2529,5.94
1870602,904,869,22,13,889,900,813,812,879,899,7.85
