population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
7977,4139,3836,2,71.89,50,961,814,1,751,678,,313,313,,5482,2495,6082,4816,428,2539,4148,1870101,73.02,74.06,3551,2792
4067,2287,1778,2,88.52,,814,480,,601,463,,174,190,,4019,48,3285,2549,234,1148,2138,1870102,91.32,93.54,1554,1258
5040,2527,2513,,87.87,,704,633,,738,731,,263,299,,4974,66,4021,3162,371,1394,2837,1870103,89.98,92.1,1731,1538
2762,1433,1328,1,92.7,100,399,378,,464,384,,155,197,1,2744,18,2260,1828,217,881,1625,1870104,93.85,94.93,1299,1112
2251,1143,1108,,90.64,,325,239,,337,355,,104,131,,2251,,1814,1473,164,989,1334,1870105,90.63,90.62,1123,986
3596,1931,1665,,89.3,,480,372,,696,488,,225,259,,3478,118,2942,2442,273,1219,2301,1870106,90.89,92.18,1643,1466
4449,2347,2102,,90.51,,414,343,,823,654,,480,485,,4317,132,3593,2967,415,1360,2796,1870107,92.35,94.01,1691,1509
11387,5809,5578,,75.04,,1788,1490,,1098,1116,,318,382,,10488,899,8741,6860,616,3407,5848,1870108,76.48,77.85,3108,2425
7909,3912,3997,,86.99,,829,797,,1030,1041,,802,830,,7104,805,6299,5117,613,2258,4636,1870109,88.14,89.34,2019,1765
4716,2577,2139,,86.88,,588,403,,739,513,,535,528,,4361,355,3910,3240,418,1799,3046,1870201,88.7,90.15,1258,1118
12833,7452,5381,,88.2,,1793,1296,,2653,1242,,1088,974,,11306,1527,10527,8758,809,5063,8359,1870202,90.99,92.87,3728,3234
21754,12542,9205,7,73.87,71.43,3383,2388,3,3871,1758,,635,526,,18676,3078,17413,14246,1172,6775,12716,1870203,79.81,83.92,5756,4544
5702,2875,2827,,97.72,,319,285,,575,699,,1497,1354,,5668,34,5048,4367,618,1525,4288,1870301,97.78,97.84,1856,1772
9226,4632,4592,2,96.44,100,542,470,,937,1156,2,2247,2082,,9129,97,8003,6771,914,2774,6638,1870302,96.63,96.81,1635,1546
4243,2625,1618,,83.51,,494,394,,1156,327,,164,143,,3807,436,3315,2693,131,1544,2607,1870303,89.89,93.35,1002,787
4031,2151,1879,1,92.35,100,437,333,,571,443,,621,559,1,3932,99,3342,2772,355,1509,2675,1870304,94.55,96.41,1208,1168
10734,5423,5311,,83.77,,1328,1190,,1439,1370,,624,650,,10013,721,8545,6862,783,2716,6130,1870305,85.38,86.96,4524,3921
4345,2171,2172,2,95.79,100,301,271,,454,576,,923,841,,4285,60,3684,3119,659,1440,3048,1870306,95.9,96.01,1697,1665
5442,2999,2443,,90.45,,603,344,,657,482,,984,927,,5238,204,4650,3924,749,2077,3821,1870401,91.05,91.53,1694,1716
7897,4540,3356,1,85.34,100,897,596,,1240,632,1,1012,885,,7364,533,6333,5184,615,2554,4944,1870402,88.55,90.82,1877,1733
5752,3574,2178,,88.14,,424,431,,1834,473,,570,446,,5663,89,4584,3750,309,1878,3632,1870403,94.63,98.21,752,739
4666,2415,2246,5,79.39,20,716,542,,692,518,,212,222,,4477,189,3656,2908,291,1405,2687,1870404,84.79,89.89,1517,1290
