,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,no. of hh,male voters,female voters
0,74.52795,31.4634,18601,66660,34556,32098,6,60.68,100.0,9716,7694,4.0,4305,3175,1.0,733,642,,65270,1390,47452,34731,3412,15593,25731,66.55,71.98,8658,19043,12487
1,74.48013285,31.49329139,18602,76228,41486,34739,3,67.32,67.0,9065,7192,2.0,8772,4831,,3579,3288,,69874,6354,57338,44722,3945,18632,37522,71.47,74.81,11380,15180,10708
2,74.52146007,31.43964866,18603,118367,62108,56249,10,65.67,60.0,15521,11676,1.0,8143,6674,3.0,4589,3994,2.0,107401,10966,86688,65248,5842,26444,51240,69.55,73.01,17900,25086,15749
3,74.53633446,31.39441921,18604,78866,41041,37821,4,55.25,,11093,8481,,4658,2857,,797,524,,76512,2354,55126,38840,3509,17621,27276,62.35,68.84,10073,19935,11189
4,74.36032525,31.56105414,18605,33354,17297,16055,2,82.76,100.0,4707,3662,,4210,4065,,1973,2152,1.0,30383,2971,26425,21044,2285,9653,18492,84.48,86.08,5504,11410,9625
5,74.3647347,31.55071773,18606,28560,14590,13968,2,84.12,100.0,3766,3064,1.0,3811,3616,1.0,1864,1960,,27409,1151,22651,18168,1998,7913,16049,85.85,87.49,4816,11198,9556
6,74.35504861,31.54519872,18607,16912,8726,8185,1,80.68,,2671,2055,,1947,1695,,1027,922,,13562,3350,13281,10603,1123,5395,9635,84.8,88.57,2985,4213,4100
7,74.367933,31.554188,18608,52795,26913,25879,3,87.51,33.33,8074,6733,,6887,6968,1.0,2331,2704,,52018,777,41395,33070,3445,15178,29167,88.71,89.88,8229,17892,14801
8,74.35807833,31.53232687,18609,8565,4539,4026, ,78.74,,1336,957,,1005,759,,487,485,,7193,1372,6699,5391,493,2752,4810,83.3,87.27,1422,1906,1864
9,74.35930841,31.51264719,18610,23038,12521,10512,5,81.0,80.0,2963,2187,2.0,3302,2564,2.0,1530,1294,,21850,1188,18335,14784,1489,6766,13371,83.65,85.81,3629,6922,5991
10,74.35241103,31.51074401,18611,8619,4752,3867, ,83.98,,1131,635,,1134,922,,1036,986,,8342,277,7185,5950,827,3414,5561,84.89,85.58,1478,3252,3121
11,74.356372,31.497263,18612,39580,21469,18096,15,72.01,46.67,5460,3993,3.0,5101,3796,3.0,2161,1540,,33271,6309,30919,24830,2185,7765,21584,76.66,80.51,6544,9821,8145
