,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,no. of hh,male voters,female voters
0,74.52795,31.4634,1860101,4589,2425,2164,,60.71,,655,553,,322,188,,52,49.0,,4318,271.0,3350,2482,263,1248,1936,65.37,69.5,639,1263,831
1,74.51076,31.47972,1860102,12192,6263,5929,,66.74,,1690,1447,,949,832,,181,183.0,,11842,350.0,8826,6619,555,3382,5073,70.87,74.78,1672,3505,2459
2,74.59601,31.47179,1860103,1757,895,862,,54.14,,292,194,,86,43,,9,8.0,,1735,22.0,1178,807,70,256,576,65.62,76.27,201,442,254
3,74.56942,31.4757,1860104,2041,1065,976,,56.0,,262,234,,106,64,,10,7.0,,2041,,1440,1050,99,483,629,60.83,65.41,246,524,292
4,74.60872,31.4621,1860105,3482,1754,1728,,63.02,,566,439,,231,122,,60,28.0,,3473,9.0,2419,1685,175,430,1209,71.43,79.33,406,967,569
5,74.57064,31.44238,1860106,15328,7947,7380,1.0,59.65,100.0,2135,1688,1.0,900,800,,159,153.0,,14889,439.0,10862,7941,761,3790,6125,64.54,69.1,2059,4117,2895
6,74.52341,31.4907,1860107,6315,3276,3038,1.0,60.21,100.0,964,768,1.0,384,305,,53,38.0,,6315,,4515,3292,312,1201,2263,65.2,69.77,770,1697,1054
7,74.58268,31.49278,1860108,3092,1585,1507,,50.29,,410,340,,119,84,,14,13.0,,2948,144.0,2134,1577,162,859,962,55.25,59.91,371,852,492
8,74.56344,31.5039,1860109,2637,1387,1250,,59.67,,460,391,,154,72,,21,15.0,,2629,8.0,1860,1361,141,624,939,66.94,73.75,326,756,450
9,74.62494923,31.46914554,1860110,8483,4422,4060,1.0,61.37,100.0,1208,938,,625,452,,101,102.0,,8343,140.0,6208,4662,548,2104,3659,67.48,73.12,1138,2958,2099
10,74.62643,31.43464,1860111,2489,1335,1154,,57.07,,422,254,,155,39,,20,12.0,,2488,1.0,1723,1182,125,174,876,69.65,80.7,268,736,390
11,74.60673,31.43563,1860112,2306,1192,1111,3.0,60.82,100.0,359,237,2.0,145,89,1.0,41,20.0,,2300,6.0,1555,1080,115,534,800,71.51,81.03,299,684,388
12,74.55546,31.50599,1860113,1949,1010,939,,56.16,,293,211,,129,85,,12,14.0,,1949,,1382,993,86,508,684,63.6,70.34,263,542,314
13,74.48013285,31.49329139,1860201,10463,5523,4940,,67.63,,1186,988,,844,653,,554,513.0,,10414,49.0,7904,6067,571,3082,5072,69.4,70.92,1546,2302,1655
14,74.48130726,31.47597915,1860202,1430,742,688,,63.13,,226,188,,62,61,,16,17.0,,1337,93.0,1029,761,69,257,545,65.99,68.68,178,474,273
15,74.46169234,31.52192938,1860203,10797,5525,5272,,86.57,,1002,810,,1232,1176,,1455,1374.0,,10630,167.0,8473,6822,885,3301,6358,88.3,89.96,1816,908,661
16,74.48858887,31.54679795,1860204,8378,4317,4061,,58.77,,1059,937,,518,489,,102,127.0,,7593,785.0,6146,4566,401,1086,3516,60.14,61.43,1165,2481,1804
17,74.46105119,31.4634621,1860205,4856,2765,2091,,72.67,,628,333,,429,321,,504,462.0,,4812,44.0,3887,3191,307,1885,2782,72.76,72.82,998,376,244
18,74.50179497,31.506819,1860206,5487,2883,2604,,57.86,,759,573,,364,245,,45,37.0,,4936,551.0,3984,3012,284,452,2220,62.98,67.45,793,1408,890
19,74.48527,31.50683,1860207,3739,1965,1773,1.0,54.25,100.0,530,395,1.0,190,204,,35,30.0,,2937,802.0,2712,1980,163,1077,1510,56.34,58.18,532,792,578
20,74.50168838,31.51346,1860208,4450,2300,2150,,56.74,,577,523,,222,169,,23,28.0,,4048,402.0,3120,2322,223,1261,1734,59.58,62.24,638,1313,878
