,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.18222,31.48123,18501,540947,283351,257444,152,73.58,38.82,56215,43704,18.0,56012,48069,19.0,45704,39636,10.0,524407,16540,417141,329940,33409,142563,285460,76.6,79.32,100096,83135,89045,81840,2946,4259,76276,87019,74487,76019,86168,87612,5.96
1,74.368773,31.651847,18502,11834,6151,5677,6,58.38,83.33,1564,1382,4.0,498,566,1.0,39,43,,11657,177,8495,6258,666,3530,4497,57.94,57.51,3141,2185,1739,1452,239,48,1687,1711,1139,1155,1642,1666,6.79
2,74.279436,31.632844,18503,58236,29541,28688,7,83.52,28.57,8321,7055,,7164,7033,,2631,2827,,57246,990,44628,35025,3496,13996,29507,85.66,87.77,21036,17232,9306,9112,95,99,8172,9274,8938,8806,9220,9297,6.15
3,74.281082,31.63953,18504,42541,21788,20748,5,80.75,20.0,6059,5199,1.0,4972,4392,,1632,1685,,40395,2146,32354,25169,2370,8100,21438,83.02,85.2,15587,12313,6788,6495,224,69,6690,6735,6086,6277,6737,6757,6.24
4,74.29051443,31.64742489,18505,62745,32350,30382,13,66.65,46.15,8453,7063,1.0,4782,4368,3.0,970,991,1.0,61895,850,45883,34460,2907,14313,26316,69.75,72.69,15820,11678,9436,8248,928,260,9080,9346,7045,7178,9133,9403,6.57
5,74.2882656,31.61957949,18506,96830,50221,46607,2,72.55,,13197,10749,,10244,9108,,2716,2916,,95811,1019,72409,55692,4804,25868,44670,75.1,77.47,23544,17491,15322,14622,451,249,14084,15194,14008,12972,15098,15241,6.29
6,74.27628959,31.61357264,18507,50706,26871,23824,11,71.36,63.64,6382,4625,2.0,4775,4387,2.0,1382,1554,2.0,50076,630,37752,29018,2508,14128,23544,73.34,75.05,14844,11464,7631,6902,502,227,7020,7573,6659,6739,7467,7602,6.48
7,74.2449471,31.5996185,18508,97246,50708,46525,13,60.33,23.08,12100,9614,2.0,6554,5842,1.0,1359,1515,,96179,1067,71202,53754,4309,21079,41356,62.93,65.31,24962,18576,14229,12940,991,298,13844,14028,11052,11954,14022,14152,6.79
8,74.3071026,31.6299385,18509,80529,41653,38863,13,69.46,61.54,10615,9055,3.0,7165,6889,3.0,2181,1924,1.0,76207,4322,60801,46793,4368,19383,36561,71.14,72.69,25236,17753,13537,12447,845,245,13377,13363,12019,11604,13377,13269,5.92
9,74.29097411,31.63216957,18510,66040,34009,32020,11,73.82,45.45,9651,7943,3.0,6713,6222,1.0,1725,1800,,60896,5144,49772,38485,3431,13679,30537,75.92,77.89,17765,13034,10461,9898,385,178,10313,10332,9404,8916,10310,10387,6.26
10,74.306904,31.611401,18511,87940,46065,41852,23,63.84,39.13,11802,8913,8.0,6787,5970,1.0,1291,1469,,85827,2113,64470,48538,3781,20300,37942,67.03,69.91,22137,15508,12508,11955,323,230,12192,12425,11529,11221,12302,12377,6.92
11,74.328269,31.612098,18512,81340,42428,38901,11,71.93,18.18,11962,9322,1.0,6756,6608,1.0,1299,1627,,78941,2399,60700,46697,3972,21980,35947,73.64,75.21,21984,15781,12315,11906,229,180,11638,12219,11306,9589,11731,12258,6.56
12,74.30493093,31.60731589,18513,31601,16892,14709, ,81.14,,5220,3742,,3740,3428,,1027,1196,,31397,204,24338,19069,1661,5838,15833,82.34,83.37,11714,9493,4841,4616,52,173,4550,4699,4487,4562,4783,4837,6.4
13,74.306684,31.604997,18514,37177,19389,17788, ,75.49,,5119,3919,,4151,3828,,1267,1517,,36600,577,28304,21878,1897,8991,17974,77.35,79.03,12359,9700,5389,5078,183,128,5239,5360,4833,4705,5304,5381,6.75
14,74.31844,31.599091,18515,28888,15253,13627,8,77.69,75.0,4532,3423,4.0,2987,3037,1.0,697,832,,28485,403,22302,17539,1496,7006,14065,78.5,79.21,10472,7689,4457,4317,77,63,3584,4445,4196,3383,4409,4454,6.42
15,74.312198,31.593905,18516,29040,16333,12694,13,77.47,46.15,4769,3004,,2911,2722,3.0,604,747,,28904,136,22632,18239,1631,9295,14889,75.05,73.31,10009,7598,4383,3977,255,151,4168,4348,3687,3213,4084,4253,6.37
16,74.31524586,31.58831486,18517,24131,13438,10652,41,69.26,19.51,3802,2626,7.0,2314,2069,1.0,503,593,,23551,580,19436,15729,1429,7517,12305,67.88,67.01,10669,7914,3483,2852,513,118,3392,3471,3181,2957,3420,3465,5.95
17,74.30824051,31.58416521,18518,36363,19350,16998,15,73.14,46.67,5331,4147,2.0,3512,3741,2.0,644,717,,35381,982,28500,22507,2095,11921,17692,71.8,70.68,17384,12822,5759,4715,808,236,5700,5704,5506,4732,5681,5735,6.21
18,74.31029249,31.57960929,18519,28743,15762,12969,12,78.79,41.67,5081,3493,2.0,2870,3098,2.0,573,692,,28705,38,22903,18209,1643,9844,14480,76.28,74.36,11474,8563,4442,3261,788,393,4350,4425,4020,3765,4374,4423,6.21
19,74.317155,31.583418,18520,17133,9561,7571,1,82.45,,2977,2047,,1974,2105,,363,447,,17099,34,13808,10983,1012,4771,8985,78.78,75.97,8960,6737,2714,2190,341,183,2664,2684,2401,2585,2666,2703,6.14
20,74.320848,31.5844,18521,20791,11656,9127,8,81.76,75.0,3332,2113,4.0,2787,2548,2.0,599,676,,20533,258,16790,13508,1265,7008,11333,78.65,76.38,9370,7183,3418,2290,847,281,3368,3392,3198,3072,3377,3398,5.83
21,74.32731049,31.58407524,18522,23068,13117,9950,1,83.65,,4122,2616,,3120,2657,,617,707,,22713,355,18610,14815,1305,6833,12676,82.58,81.82,10891,8121,3612,3030,487,95,3481,3607,3326,2950,3557,3596,6.09
22,74.32972082,31.58837856,18523,23083,12245,10828,10,84.55,60.0,3455,2533,3.0,3027,2827,3.0,817,989,,22986,97,17965,14221,1392,5934,11881,84.48,84.44,9102,7090,3652,3478,92,82,2587,3626,3461,3356,3599,3627,6.23
23,74.3352818,31.5859108,18524,23030,12159,10869,2,86.85,50.0,3738,2844,,2870,2896,,678,906,,22935,95,18102,14439,1413,5840,12239,86.2,85.64,8792,6993,3773,3496,201,76,3556,3748,3616,3548,3720,3771,6.02
24,74.33590883,31.58921451,18525,23556,11904,11652, ,90.78,,3398,2679,,3622,3795,,1072,1483,,23476,80,18570,14806,1704,6600,12765,91.37,91.96,10302,8579,3723,3658,35,30,3050,3720,3650,3673,3706,3722,6.28
25,74.34026792,31.59821241,18526,31830,16593,15235,2,90.04,50.0,4363,3392,1.0,5009,4896,,1686,2041,,31467,363,25193,20182,2242,9571,17884,89.77,89.53,14667,12144,4871,4784,30,57,4046,4860,4630,4639,4839,4860,6.5
26,74.34343621,31.58529484,18527,21023,10858,10163,2,85.55,,3144,2543,,2793,2789,,859,1009,,21008,15,16566,13056,1319,6226,11043,86.68,87.76,9345,7266,3219,3036,145,38,2551,3193,3072,2967,3179,3217,6.51
27,74.339863,31.58628,18528,23551,12135,11414,2,86.27,100.0,3922,3205,1.0,3151,3079,,699,899,,22611,940,18488,14706,1386,6511,12419,86.53,86.76,9219,7240,3493,3424,29,40,2753,3485,3414,3376,3468,3488,6.68
28,74.34421,31.579997,18529,24590,12832,11756,2,79.69,100.0,3863,2980,,2853,2677,2.0,788,954,,23369,1221,19260,15357,1439,7817,13578,81.1,82.37,9498,7537,4018,3851,115,52,3303,3998,3755,3508,3962,4008,6.09
29,74.348145,31.584278,18530,10417,5320,5095,2,83.35,,1491,1161,,1424,1448,,471,560,,10387,30,8137,6456,680,3223,5538,84.36,85.36,4672,3731,1640,1625,4,11,1621,1631,1580,1627,1633,1637,6.29
30,74.343122,31.593082,18531,22735,11775,10959,1,80.95,100.0,3549,2746,1.0,2571,2981,,595,796,,22308,427,17690,13933,1318,6670,11616,80.1,79.29,8257,6303,3430,3376,29,25,3122,3420,3347,2625,3407,3428,6.56
31,74.349169,31.589096,18532,32427,16524,15890,13,80.92,69.23,5305,4308,5.0,3326,3680,3.0,716,988,,29661,2766,24729,19366,1838,8954,15475,81.51,82.09,12356,9203,5244,5145,71,28,5186,5232,5052,4867,5213,5233,6.14
