,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.18222,31.48123,1850101,3316,1731,1583,2.0,67.18,50.0,456,355,,247,258,,72,70.0,,3316,,2491,1895,215,1000,1498,68.69,70.08,1165,883,561,517,41.0,3.0,559,553,467.0,430,549,552,5.91
1,74.19676,31.44742,1850102,16852,8791,8061,,77.8,,2001,1594,,1704,1452,,1489,1331.0,,15983,869.0,13053,10478,1137,5082,9240,80.96,83.82,2272,1778,2822,2663,86.0,73.0,2566,2801,2342.0,2488,2774,2816,5.95
2,74.2111,31.49907,1850103,345,194,151,,14.74,,7,4,,5,2,,1,,,344,1.0,232,170,16,101,89,19.83,23.36,3775,2777,48,18,16.0,14.0,23,33,1.0,18,23,17,7.19
3,74.2508942,31.50087586,1850104,174538,90776,83739,23.0,69.72,39.13,19948,15667,4.0,17275,14755,1.0,9019,8185.0,2.0,172622,1916.0,130415,101255,9030,40131,83179,73.07,76.13,30799,24256,27694,25683,764.0,1247.0,23889,27230,22027.0,23934,27146,27443,6.25
4,74.23464144,31.48125063,1850105,99868,52969,46883,16.0,72.28,37.5,10961,8492,1.0,11064,8719,1.0,6926,5767.0,3.0,97577,2291.0,76995,60835,5562,26264,52608,75.91,79.06,22413,18377,16573,15523,491.0,559.0,14242,16276,14296.0,14095,16042,16372,5.88
5,74.25143387,31.47938872,1850106,101763,53581,48109,73.0,79.06,34.25,9193,7179,11.0,11530,9986,9.0,13129,10992.0,1.0,98581,3182.0,81161,65344,7683,27895,59021,81.71,84.14,24370,21680,17328,15882,602.0,844.0,16284,17005,15311.0,15444,16734,17064,5.68
6,74.28577693,31.45743786,1850107,82214,42993,39193,28.0,77.45,53.57,6596,5119,1.0,8951,8027,7.0,10332,9138.0,4.0,81052,1162.0,65183,52393,5759,23818,47239,79.36,81.09,6479,5924,13989,12147,475.0,1367.0,11902,13187,11413.0,11624,13074,13389,5.67
7,74.23116559,31.4584334,1850108,4558,2288,2270,,85.68,,371,324,,424,503,,762,659.0,,4453,105.0,3673,3051,426,799,2785,88.02,90.34,547,523,863,836,14.0,13.0,512,862,818.0,772,851,861,5.26
8,74.2121534,31.4403838,1850109,57493,30028,27455,10.0,69.88,30.0,6682,4970,1.0,4812,4367,1.0,3974,3494.0,,50479,7014.0,43938,34519,3581,17473,29801,73.24,76.28,8276,6937,9167,8571,457.0,139.0,6299,9072,7812.0,7214,8975,9098,6.22
9,74.368773,31.651847,1850201,3567,1841,1720,6.0,52.13,83.33,435,417,4.0,110,119,1.0,7,12.0,,3539,28.0,2500,1827,176,1046,1241,50.96,49.73,741,542,559,390,136.0,33.0,540,557,215.0,391,510,523,6.37
