longitude,latitude,circle code
74.379108,31.541521,1870201
74.37141,31.541555,1870202
74.362106,31.542123,1870203
74.413505,31.536775,1870301
74.416502,31.527153,1870302
74.387035,31.533701,1870303
74.395229,31.540152,1870304
74.384056,31.548186,1870305
74.395745,31.546028,1870306
74.369439,31.528915,1870401
74.374761,31.51569,1870402
74.364584,31.514939,1870403
74.360862,31.522901,1870404
74.360424,31.515787,1870405
74.360388,31.512154,1870406
74.36021,31.508745,1870407
74.382177,31.525469,1870501
74.406006,31.516766,1870502
74.393098,31.506703,1870503
74.413658,31.50131,1870505
74.431399,31.522587,1870601
74.431475,31.506411,1870602
74.436134,31.529762,1870603
74.451663,31.513751,1870604
74.430013,31.498992,1870605
74.428444,31.491451,1870606
74.419925,31.49075,1870701
74.441289,31.489436,1870705
74.423034,31.487988,1870702
74.423959,31.483193,1870703
74.425555,31.482475,1870704
74.411624,31.492857,1870506
74.406098,31.495838,1870504
74.373665,31.554919,1870101
74.373135,31.549827,1870102
74.373695,31.54787,1870103
74.378993,31.54777,1870104
74.379434,31.549074,1870105
74.378934,31.553389,1870106
74.383938,31.555596,1870107
74.389295,31.553289,1870108
74.395005,31.552185,1870109
