,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.379108,31.541521,1870201,4716,2577,2139,,86.88,,588,403,,739,513,,535,528.0,,4361,355.0,3910,3240,418,1799,3046,88.7,90.15,1258,1118,822,810,7.0,5.0,812,822,780.0,771,819,820,5.43
1,74.37141,31.541555,1870202,12833,7452,5381,,88.2,,1793,1296,,2653,1242,,1088,974.0,,11306,1527.0,10527,8758,809,5063,8359,90.99,92.87,3728,3234,1837,1797,26.0,14.0,1528,1836,1810.0,1791,1827,1827,6.06
2,74.362106,31.542123,1870203,21754,12542,9205,7.0,73.87,71.43,3383,2388,3.0,3871,1758,,635,526.0,,18676,3078.0,17413,14246,1172,6775,12716,79.81,83.92,5756,4544,3118,2991,67.0,60.0,2795,3089,2866.0,2906,3073,3092,6.21
3,74.413505,31.536775,1870301,5702,2875,2827,,97.72,,319,285,,575,699,,1497,1354.0,,5668,34.0,5048,4367,618,1525,4288,97.78,97.84,1856,1772,1100,1086,12.0,2.0,1097,1097,1026.0,1099,1100,1094,5.18
4,74.416502,31.527153,1870302,9226,4632,4592,2.0,96.44,100.0,542,470,,937,1156,2.0,2247,2082.0,,9129,97.0,8003,6771,914,2774,6638,96.63,96.81,1635,1546,1784,1769,4.0,11.0,1758,1779,1637.0,1783,1779,1784,5.16
5,74.387035,31.533701,1870303,4243,2625,1618,,83.51,,494,394,,1156,327,,164,143.0,,3807,436.0,3315,2693,131,1544,2607,89.89,93.35,1002,787,674,652,4.0,18.0,370,671,606.0,592,660,673,5.06
6,74.395229,31.540152,1870304,4031,2151,1879,1.0,92.35,100.0,437,333,,571,443,,621,559.0,1.0,3932,99.0,3342,2772,355,1509,2675,94.55,96.41,1208,1168,761,750,9.0,2.0,709,759,744.0,750,758,752,4.77
7,74.384056,31.548186,1870305,10734,5423,5311,,83.77,,1328,1190,,1439,1370,,624,650.0,,10013,721.0,8545,6862,783,2716,6130,85.38,86.96,4524,3921,1800,1707,42.0,51.0,1670,1795,1676.0,1663,1790,1798,5.91
8,74.395745,31.546028,1870306,4345,2171,2172,2.0,95.79,100.0,301,271,,454,576,,923,841.0,,4285,60.0,3684,3119,659,1440,3048,95.9,96.01,1697,1665,817,807,2.0,8.0,806,813,806.0,814,815,816,5.32
9,74.369439,31.528915,1870401,5442,2999,2443,,90.45,,603,344,,657,482,,984,927.0,,5238,204.0,4650,3924,749,2077,3821,91.05,91.53,1694,1716,988,970,11.0,7.0,718,987,939.0,978,985,987,5.28
10,74.374761,31.51569,1870402,7897,4540,3356,1.0,85.34,100.0,897,596,,1240,632,1.0,1012,885.0,,7364,533.0,6333,5184,615,2554,4944,88.55,90.82,1877,1733,1406,1388,6.0,12.0,1376,1401,1269.0,1393,1395,1400,5.2
11,74.364584,31.514939,1870403,5752,3574,2178,,88.14,,424,431,,1834,473,,570,446.0,,5663,89.0,4584,3750,309,1878,3632,94.63,98.21,752,739,920,910,2.0,8.0,466,918,912.0,914,912,918,4.93
12,74.360862,31.522901,1870404,4666,2415,2246,5.0,79.39,20.0,716,542,,692,518,,212,222.0,,4477,189.0,3656,2908,291,1405,2687,84.79,89.89,1517,1290,697,694,1.0,2.0,653,696,687.0,647,695,697,6.61
13,74.360424,31.515787,1870405,4731,2469,2262,,79.49,,838,617,,588,486,,123,144.0,,4670,61.0,3694,2902,224,1388,2538,83.6,87.23,1506,1150,803,795,1.0,7.0,799,802,792.0,712,801,803,5.8
