,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.400246,31.306654,25901,150585,80121,70430,34,59.83,61.76,20705,14845,7.0,10875,7586,5.0,2747,2200,,134680,15905,109212,82192,6466,30309,64869,65.45,70.25,29432,19213,22819,20387,1873,559,20924,22332,12605,15175,21996,22499,6.48
1,74.36024628,31.43299978,25902,326925,173704,153174,47,67.11,44.68,45474,33960,8.0,32332,24440,10.0,8889,7842,1.0,252081,74844,246045,191132,15585,93132,157969,71.56,75.42,63069,45292,50339,47795,1476,1068,44604,49815,37151,42944,49251,50112,6.3
2,74.35627337,31.3194925,25903,180076,95455,84600,21,63.16,52.38,23008,16546,1.0,14251,10360,5.0,6522,5533,3.0,170745,9331,132280,101425,9147,39530,81846,68.15,72.45,32031,20697,27580,24817,2158,605,22679,27181,16115,19086,26254,27011,6.37
3,74.28766382,31.44394219,25904,287006,148020,138943,43,73.65,58.14,28029,22988,4.0,25442,23385,12.0,25775,23013,6.0,275866,11140,218238,172274,19113,77358,146792,76.38,78.94,44341,38090,47056,44729,1200,1127,41587,46241,32216,40083,46261,46661,6.04
4,74.34239705,31.52594273,25905,23054,13243,9807,4,85.32,50.0,3574,1927,1.0,3118,2291,,2267,1857,,21504,1550,19125,15983,1876,8630,14874,87.27,88.67,5769,4837,3877,3804,30,43,3382,3866,3724,3562,3842,3866,5.71
5,74.35906295,31.52280637,25906,16852,9586,7262,4,83.09,75.0,2613,1519,3.0,2422,1804,,1371,1110,,16287,565,13825,11439,1057,6817,10526,85.39,87.05,4732,4261,2560,2518,16,26,2351,2537,2460,2329,2523,2546,5.78
6,74.34250124,31.51627493,25907,3027,1676,1351, ,82.93,,363,184,,333,279,,457,421,,2812,215,2529,2121,365,1126,1998,83.91,84.68,731,716,574,560,1,13,561,573,513,538,561,567,4.87
7,74.332061,31.522345,25908,26275,14561,11711,3,74.26,33.33,3861,2649,,3321,2229,1.0,1898,1275,,18297,7978,21113,17216,1458,5914,15253,79.45,83.46,6635,5559,3952,3874,16,62,3821,3933,3823,3828,3916,3937,6.17
8,74.33238398,31.48995324,25909,31390,15942,15446,2,87.8,100.0,2877,2384,,3380,3710,1.0,4762,4389,,30955,435,25877,21012,3544,10169,19716,89.23,90.63,12338,11737,5610,5462,66,82,5322,5594,5282,5386,5562,5566,5.41
9,74.34598689,31.47486976,25910,47049,24291,22753,5,70.8,60.0,6191,4722,,4745,4276,,1861,1954,1.0,36417,10632,36173,28381,2390,11933,24327,74.68,78.3,13654,11169,7145,6631,185,329,6822,7096,6859,5995,6935,7130,6.3
10,74.33466662,31.47344453,25911,42989,22274,20709,6,86.86,33.33,4197,3726,,6178,5518,1.0,4622,4027,,38558,4431,34630,28278,3392,12723,25758,89.03,91.07,11643,10837,7553,7042,78,433,6987,7513,7099,7326,7274,7214,5.62
11,74.328912,31.467372,25912,103661,54804,48806,51,72.92,56.86,15428,11733,13.0,10273,9031,12.0,2878,2905,,93164,10497,79440,62688,5393,33342,52023,76.22,79.16,25867,21089,16886,16220,205,461,14094,16769,15451,14617,16610,16609,5.96
12,74.33571656,31.4607706,25913,49141,25304,23803,34,76.82,41.18,6023,5084,7.0,6492,5984,3.0,2035,2218,3.0,30355,18786,38681,31058,3301,13817,27510,78.89,80.91,14510,12470,7965,7665,176,124,6265,7896,7709,7624,7871,7942,6.06
13,74.3446769,31.4670482,25914,41667,21585,20075,7,80.75,28.57,5670,4829,,5284,4478,2.0,1775,1735,,40347,1320,31971,25260,2412,9577,22015,83.92,86.91,11353,9082,6572,6421,71,80,5814,6513,6277,6278,6514,6539,6.03
14,74.34814671,31.45343151,25915,58516,30731,27770,15,73.03,66.67,8895,6952,6.0,6203,5223,1.0,1632,1507,1.0,55245,3271,44480,34881,3041,17281,29403,77.17,80.88,15122,11496,9588,9418,82,88,8269,9523,9196,7634,9502,9572,6.02
15,74.3520464,31.4454544,25916,271718,143613,128043,62,63.66,35.48,38718,29769,9.0,22355,17484,6.0,4622,4184,2.0,264212,7506,201759,155095,11838,69754,124129,67.65,71.17,47443,33329,40684,38110,802,1772,38126,40184,34192,33382,39045,39385,6.5
16,74.306297,31.454504,25917,75036,38545,36484,7,86.14,42.86,9170,7998,,10221,9817,1.0,5655,5216,1.0,72481,2555,58849,47065,5443,20271,42242,87.94,89.67,21217,19015,11927,11576,154,197,10747,11838,11459,11423,11763,11903,6.2
17,74.31069395,31.45270161,25918,47856,24618,23231,7,87.14,71.43,5470,4498,1.0,6773,6287,2.0,4266,4057,2.0,47209,647,37795,30437,3498,10992,27433,88.95,90.65,12047,10592,7790,7431,58,301,7382,7507,7082,7536,7531,7635,5.92
18,74.2957096,31.43274956,25919,41617,21321,20290,6,79.23,100.0,5332,4587,2.0,4726,4197,1.0,2389,2364,2.0,35621,5996,31943,25425,2584,10117,22583,82.02,84.68,9915,8339,6394,6148,167,79,6218,6316,5903,5961,6335,6341,6.43
19,74.30346048,31.43649609,25920,76758,40195,36552,11,78.32,63.64,11077,8808,2.0,9454,7837,2.0,3336,3366,2.0,71665,5093,59137,47005,4241,25958,40850,81.08,83.55,21014,17820,12383,12080,128,175,11636,12317,11813,11650,12243,12349,6.04
20,74.303827,31.429224,25921,43768,22530,21236,2,78.54,50.0,5974,4947,,4553,4161,,1270,1397,1.0,40255,3513,33093,26031,2366,10840,22916,80.71,82.74,14530,11435,6899,6737,83,79,6704,6861,6599,6333,6834,6851,6.27
21,74.31264559,31.4937161,25922,34932,19395,15525,12,80.84,66.67,4026,2850,1.0,4704,3267,5.0,4219,3295,1.0,33565,1367,28892,23903,3179,11907,22475,83.47,85.52,12111,11090,5619,5448,74,97,4682,5555,5218,5382,5559,5597,5.7
22,74.30282422,31.48435024,25923,72734,39203,33515,16,86.19,37.5,6225,4711,1.0,9750,8514,3.0,11288,8922,1.0,70882,1852,60890,51581,5410,20296,47597,88.07,89.69,19042,17715,11137,10655,291,191,8820,11059,10616,10024,10991,11073,5.52
23,74.29915173,31.47106081,25924,61392,31375,29995,22,79.74,50.0,5695,4704,4.0,6601,6352,4.0,6625,6237,1.0,59961,1431,48702,39156,4407,16709,34618,81.96,84.1,10228,9348,10228,9706,237,285,8885,10100,9515,8615,10074,10172,5.76
24,74.2934106,31.48012479,25925,71849,37528,34307,14,79.41,71.43,6979,5906,3.0,9331,7897,4.0,7696,6391,2.0,69520,2329,57335,45845,4638,21108,41481,82.36,85.01,14783,12861,12533,11956,188,389,10614,12340,10996,11348,12253,12377,5.61
25,74.285217,31.519272,25926,26637,13343,13290,4,91.58,75.0,2254,2240,,3777,3799,,3674,3469,3.0,26476,161,21744,17753,2716,6207,16602,92.86,94.15,9326,8850,4605,4553,32,20,4187,4594,4382,4577,4587,4596,5.73
26,74.28998,31.509662,25927,37355,19667,17684,4,72.67,50.0,4044,3193,2.0,4132,3269,,2851,2575,,35448,1907,29223,22874,2381,11468,19807,76.06,79.1,9570,8212,6120,5885,141,94,5503,6073,5781,5437,6051,6099,5.99
27,74.284037,31.508518,25928,26778,14070,12708, ,89.86,,2441,2125,,3629,3339,,3991,3348,,26127,651,21946,17963,2740,6159,16943,90.95,91.93,7940,7395,4507,4395,42,70,3280,4481,4222,4253,4455,4463,5.71
28,74.304517,31.515214,25929,31684,16426,15257,1,87.75,,3249,2671,,4689,4220,,3959,3630,,30928,756,26289,21266,2155,6220,19784,89.82,91.76,11053,10142,4846,4663,135,48,4152,4833,4706,4751,4818,4832,6.01
29,74.29393008,31.51771912,25930,34306,17540,16763,3,92.83,66.67,3072,2822,,5324,5157,1.0,4628,4164,,33817,489,27907,22783,3060,9285,21238,94.21,95.53,12446,11597,6183,6035,85,63,5148,6142,5918,6085,6123,6157,5.51
30,74.305712,31.52486,25931,39184,19881,19298,5,86.35,40.0,4657,4356,,5655,5212,2.0,2689,2719,,38799,385,30601,24437,2627,10337,21535,87.72,89.06,10059,8359,6368,6212,73,83,6009,6346,5890,6090,6299,6356,6.1
31,74.313357,31.529432,25932,39812,20549,19254,9,84.53,77.78,5407,4488,1.0,5302,5136,1.0,1804,1861,,39552,260,30971,24401,2544,11679,21267,85.77,86.94,10543,8633,6201,6030,45,126,5603,6168,5968,5928,6094,6184,6.14
32,74.318118,31.537229,25933,62913,34863,28035,15,89.19,46.67,7906,5834,1.0,10339,8129,2.0,6168,4700,1.0,61815,1098,51617,42146,4368,16921,37909,89.84,90.36,20834,17746,9599,9211,281,107,8736,9559,9250,9323,9505,9559,5.94
33,74.311554,31.532864,25934,25594,13096,12497,1,89.67,100.0,3552,3045,,3726,3624,,1617,1738,1.0,25435,159,20454,16227,1871,6405,14831,90.5,91.3,9319,7885,4255,4197,30,28,4049,4244,4057,4248,4231,4207,5.91
34,74.314473,31.53807,25935,24252,12408,11842,2,84.56,50.0,2934,2390,,3468,3458,1.0,1639,1724,,23278,974,19331,15407,1718,6007,13730,85.5,86.41,7593,6159,4229,4143,34,52,3569,4209,4095,4149,4187,4220,5.67
35,74.33399113,31.52996377,25936,61097,33947,27142,8,81.19,62.5,7378,5500,1.0,7948,6791,2.0,4421,3636,1.0,55765,5332,49780,40937,3736,16438,36598,83.27,84.88,16886,14589,9190,8862,160,168,8462,9120,8701,8841,9071,9091,5.82
36,74.30307762,31.52851286,25937,29079,14748,14317,14,85.39,57.14,3867,3359,2.0,3774,3820,2.0,1435,1507,1.0,28287,792,22555,18054,2008,7654,15555,86.43,87.48,11990,10092,4880,4803,33,44,3348,4844,4724,4635,4842,4242,5.89
37,74.36556,31.358875,25938,79005,41133,37857,15,59.27,40.0,10802,8385,3.0,5406,4457,1.0,1090,1058,1.0,77858,1147,57279,42972,3374,18531,32857,63.56,67.49,18715,12285,11137,10101,768,268,10688,10953,6486,6683,10782,11054,7.06
