,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.400246,31.306654,2590101,10181,5354,4826,1.0,52.7,100.0,1337,1041,1.0,740,455,,222,207.0,,9154,1027.0,7403,5512,482,262,4348,58.94,64.54,1851,1206,1439,1324,84.0,31.0,1392,1399,340.0,1015,1400,1376,6.94
1,74.351414,31.406584,2590102,67099,36442,30636,21.0,64.32,66.67,9524,6527,3.0,5532,3825,3.0,1325,1084.0,,56602,10497.0,49389,37980,2644,18611,30474,69.37,73.46,12491,8259,10885,9967,656.0,262.0,10171,10620,6506.0,7294,10570,10830,6.04
2,74.392436,31.330532,2590103,20623,10760,9861,2.0,53.05,100.0,2434,1798,1.0,1226,972,1.0,549,418.0,,18739,1884.0,14700,11050,1050,3005,8845,58.12,62.61,3154,2060,2899,2464,347.0,88.0,2570,2817,1441.0,1631,2697,2772,7.04
3,74.36809122,31.34789887,2590104,16928,8926,7997,5.0,61.07,40.0,2576,1855,1.0,1279,881,1.0,256,220.0,,16488,440.0,12124,8928,700,1209,6945,68.22,74.52,3764,2483,2484,2251,179.0,54.0,2024,2473,1847.0,1624,2416,2471,6.7
4,74.43654,31.29799,2590105,3591,1865,1725,1.0,51.16,,434,350,,189,105,,32,21.0,,3522,69.0,2596,1920,182,213,1396,58.36,65.06,1011,667,519,404,93.0,22.0,501,508,46.0,258,442,481,6.55
5,74.396833,31.298688,2590106,3491,1840,1650,1.0,44.86,,371,237,,169,110,,33,30.0,,2292,1199.0,2492,1871,145,977,1452,51.36,57.14,819,617,532,428,88.0,16.0,526,530,183.0,179,522,530,6.52
6,74.410194,31.28526,2590107,3687,2009,1678,,51.45,,481,349,,210,149,,37,39.0,,3139,548.0,2769,2160,162,1168,1648,53.92,55.93,778,481,547,495,39.0,13.0,536,540,266.0,271,522,547,6.36
7,74.43876,31.31571,2590108,9936,5077,4858,1.0,58.11,100.0,1527,1233,1.0,661,440,,104,69.0,,9819,117.0,7105,4967,470,1647,3519,64.42,70.33,2681,1632,1331,1140,155.0,36.0,1300,1292,641.0,1116,1300,1319,7.44
8,74.395794,31.35639,2590109,13375,7011,6362,2.0,64.53,50.0,1811,1346,,816,617,,175,104.0,,13251,124.0,9424,6880,544,2796,5419,69.62,74.13,2399,1454,1915,1715,172.0,28.0,1751,1889,1325.0,1694,1890,1909,6.9
9,74.423872,31.326652,2590110,1674,837,837,,42.42,,210,109,,53,32,,14,8.0,,1674,,1210,924,87,421,823,50.83,58.93,484,354,268,199,60.0,9.0,153,264,10.0,93,237,264,6.25
10,74.36024628,31.43299978,2590201,68100,35870,32223,7.0,69.9,14.29,9383,7189,,6971,5515,,2153,1869.0,1.0,62814,5286.0,50589,39396,3165,18030,32324,74.41,78.42,18030,12871,10505,10069,212.0,224.0,9647,10381,7635.0,8342,10293,10441,6.36
11,74.37602732,31.42491362,2590202,74875,39845,35021,9.0,74.18,88.89,10379,8109,4.0,9001,7030,4.0,2295,2073.0,,70627,4248.0,56627,44369,3474,23411,37273,77.9,81.14,9698,6838,12301,11944,223.0,134.0,9664,12207,9670.0,11105,12161,12236,5.95
12,74.3637,31.410822,2590203,119565,64101,55439,25.0,63.87,44.0,17564,12489,4.0,11440,8183,6.0,2463,2202.0,,59391,60174.0,91371,71594,5707,38775,60343,68.57,72.52,21686,16570,18155,17093,622.0,440.0,16506,18029,12934.0,16076,17724,18099,6.29
13,74.403149,31.437145,2590204,12014,6495,5519,,59.52,,1650,1116,,1065,634,,422,401.0,,11886,128.0,8917,6841,619,1229,5514,65.71,70.82,2627,1880,1670,1577,32.0,61.0,1463,1632,1214.0,1163,1585,1669,6.7
14,74.39302,31.39582,2590205,9597,5171,4426,,47.01,,1068,744,,559,309,,90,55.0,,6118,3479.0,7102,5440,478,2719,4128,53.87,59.58,2788,1753,1407,1195,156.0,56.0,1363,1364,684.0,1241,1328,1395,6.68
15,74.38551,31.43936,2590206,33319,17295,16019,5.0,65.99,20.0,3988,3257,,2561,2263,,1254,1090.0,,31898,1421.0,24673,18517,1748,7317,14543,69.36,72.47,6143,3972,4957,4630,186.0,141.0,4646,4860,3888.0,3856,4828,4931,6.66
16,74.413605,31.452607,2590207,9455,4927,4527,1.0,64.43,,1442,1056,,735,506,,212,152.0,,9347,108.0,6766,4975,394,1651,3844,71.95,78.74,2097,1408,1344,1287,45.0,12.0,1315,1342,1126.0,1161,1332,1341,6.97
17,74.35627337,31.3194925,2590301,8741,4512,4228,1.0,60.35,100.0,1060,824,,415,225,,52,32.0,,7700,1041.0,6088,4456,439,2270,3525,67.02,73.17,1895,1121,1282,938,239.0,105.0,1017,1252,103.0,480,926,1168,6.79
18,74.371918,31.317067,2590302,9362,4965,4397,,57.64,,1328,927,,845,484,,162,121.0,,8721,641.0,6729,5054,459,2676,3739,66.52,74.24,2699,1805,1356,1147,161.0,48.0,1089,1331,855.0,1132,1332,1348,6.8
19,74.313517,31.346321,2590303,4399,2314,2084,1.0,40.03,,363,304,,168,88,,15,15.0,,4194,205.0,3134,2320,259,767,1464,43.75,47.1,1219,687,693,520,136.0,37.0,488,672,5.0,391,635,639,6.33
20,74.334614,31.376989,2590304,21747,12242,9501,4.0,56.94,25.0,3238,1925,1.0,1419,804,,155,101.0,,20992,755.0,15863,12313,885,5019,10170,62.66,66.79,4559,2877,3069,2728,239.0,102.0,2738,2975,1821.0,1927,2919,2972,6.55
21,74.3027702,31.39990048,2590305,9471,5113,4358,,59.48,,1300,880,,648,419,,182,121.0,,8700,771.0,6951,5281,435,1412,4207,66.45,72.07,1267,778,1484,1344,99.0,41.0,1212,1472,716.0,1052,1449,1470,6.33
22,74.358678,31.279964,2590306,16334,8406,7926,2.0,53.92,50.0,2243,1699,,1211,810,1.0,167,88.0,,15749,585.0,11662,8511,738,2930,6509,61.59,68.83,4391,2884,2187,1895,263.0,29.0,2140,2153,668.0,1122,1966,2134,7.18
23,74.283766,31.372588,2590307,22161,11829,10332,,68.03,,2761,1966,,2195,1492,,1243,1072.0,,20772,1389.0,16589,13046,1273,5878,10823,72.7,76.63,4046,2585,3820,3531,227.0,62.0,2689,3805,2910.0,2912,3628,3781,5.68
24,74.278502,31.391557,2590308,33589,17569,16015,5.0,82.89,80.0,3390,2570,,3706,3371,2.0,3887,3380.0,2.0,32586,1003.0,26153,21047,2508,7442,18940,85.17,87.22,2631,1812,5645,5425,153.0,67.0,3852,5591,4481.0,5081,5553,5609,5.84
25,74.35317647,31.37344474,2590309,49629,26116,23506,7.0,57.42,42.86,6690,4982,,3410,2523,1.0,620,570.0,1.0,46978,2651.0,35848,27039,1918,10683,20929,62.11,66.24,8222,5526,7404,6730,568.0,106.0,6843,7301,4200.0,4590,7229,7277,6.59
26,74.307148,31.362519,2590310,4643,2389,2253,1.0,50.73,100.0,635,469,,234,144,1.0,39,33.0,,4353,290.0,3263,2358,233,453,1540,57.71,64.2,1102,622,640,559,73.0,8.0,611,629,356.0,399,617,613,7.18
27,74.28766382,31.44394219,2590401,93665,47561,46090,14.0,84.43,57.14,7015,6356,,9382,9684,5.0,14500,13177.0,3.0,91121,2544.0,74442,60660,8929,28169,55756,86.11,87.77,22717,20811,16275,15746,230.0,299.0,14570,16219,14816.0,15049,16082,16189,5.72
28,74.25801999,31.43320603,2590402,35060,17813,17246,1.0,84.08,100.0,2442,2330,1.0,3886,3725,,5471,4695.0,,34274,786.0,27631,22286,2816,8573,20436,86.32,88.47,6173,5452,6110,5782,114.0,214.0,5722,5907,5314.0,5565,5994,6029,5.62
29,74.29392858,31.4180681,2590403,98878,51885,46975,18.0,58.27,50.0,11456,8469,2.0,7015,5727,4.0,2748,2467.0,,92743,6135.0,72363,55111,4311,23502,42677,62.46,66.19,7147,5810,15503,14528,648.0,327.0,13777,15167,6978.0,12075,15236,15337,6.32
30,74.333181,31.430263,2590404,36176,18697,17471,8.0,78.84,87.5,3695,3199,1.0,3776,3196,3.0,2820,2462.0,3.0,34709,1467.0,27171,21646,2079,10067,18502,81.49,83.94,4028,2785,5785,5464,80.0,241.0,5163,5587,3814.0,5120,5610,5745,6.16
31,74.324162,31.429016,2590405,23227,12064,11161,2.0,63.4,,3421,2634,,1383,1053,,236,212.0,,23019,208.0,16631,12571,978,7047,9421,68.59,73.32,4276,3232,3383,3209,128.0,46.0,2355,3361,1294.0,2274,3339,3361,6.81
32,74.34239705,31.52594273,2590501,18234,10410,7821,3.0,85.56,66.67,2799,1611,1.0,2579,1920,,1545,1207.0,,16868,1366.0,14952,12382,1340,6246,11394,87.59,89.06,4671,3845,3049,2997,28.0,24.0,2705,3038,2936.0,2839,3022,3042,5.76
33,74.3380911,31.52297502,2590502,4820,2833,1986,1.0,84.42,,775,316,,539,371,,722,650.0,,4636,184.0,4173,3601,536,2384,3480,86.13,87.31,1098,992,828,807,2.0,19.0,677,828,788.0,723,820,824,5.55
34,74.35906295,31.52280637,2590601,16852,9586,7262,4.0,83.09,75.0,2613,1519,3.0,2422,1804,,1371,1110.0,,16287,565.0,13825,11439,1057,6817,10526,85.39,87.05,4732,4261,2560,2518,16.0,26.0,2351,2537,2460.0,2329,2523,2546,5.78
35,74.34250124,31.51627493,2590701,3027,1676,1351,,82.93,,363,184,,333,279,,457,421.0,,2812,215.0,2529,2121,365,1126,1998,83.91,84.68,731,716,574,560,1.0,13.0,561,573,513.0,538,561,567,4.87
36,74.332061,31.522345,2590801,26275,14561,11711,3.0,74.26,33.33,3861,2649,,3321,2229,1.0,1898,1275.0,,18297,7978.0,21113,17216,1458,5914,15253,79.45,83.46,6635,5559,3952,3874,16.0,62.0,3821,3933,3823.0,3828,3916,3937,6.17
