,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,no. of hh,male voters,female voters
0,74.24660859,31.41827857,2610101,6967,3608,3358,1.0,72.94,100.0,615,460,1.0,611,588,,763,680.0,,6750,217.0,5296,4229,524,1043,3661,76.4,79.61,2334,488,327
1,74.18849,31.37496,2610102,14693,7794,6899,,84.03,,1241,1012,,1818,1634,,1919,1663.0,,14458,235.0,11689,9512,1237,3857,8712,85.1,86.04,2701,641,405
2,74.22126473,31.4079126,2610103,67603,35803,31781,19.0,67.62,47.37,9057,6260,1.0,6653,6018,6.0,2334,1779.0,,59323,8280.0,51344,40077,2682,19068,33880,71.98,75.76,10631,9901,7388
3,74.19034634,31.42445762,2610104,79610,41882,37722,6.0,66.87,66.67,11117,8560,3.0,7400,5595,,3136,2792.0,,76696,2914.0,59720,46354,4045,23429,39718,71.5,75.6,12544,18397,12599
4,74.19658944,31.39125502,2610105,27190,14964,12224,2.0,81.07,100.0,2652,1793,1.0,3075,2612,,3004,2707.0,1.0,25798,1392.0,21519,17628,1989,8207,16305,83.52,85.45,4772,2824,2319
5,74.20100571,31.42536963,2610106,7429,3944,3485,,72.86,,784,531,,695,563,,831,724.0,,6647,782.0,5886,4644,615,1920,4253,76.98,80.55,1241,1495,1049
6,74.230603,31.433716,2610107,60671,32782,27885,4.0,73.45,25.0,6743,4696,1.0,6516,4723,,5797,4741.0,,59206,1465.0,47146,37527,3611,16078,33133,77.86,81.5,9870,7502,5791
7,74.186169,31.290669,2610201,8774,4910,3863,1.0,63.31,100.0,1356,835,,725,314,1.0,125,79.0,,8333,441.0,6519,5054,365,2857,4167,72.11,78.44,1392,1617,920
8,74.085282,31.332721,2610202,10363,5379,4984,,54.64,,1316,938,,517,363,,71,65.0,,8752,1611.0,7491,5681,525,3056,4157,59.34,63.6,1673,2904,1756
9,74.10892013,31.33257974,2610203,13932,7242,6690,,48.84,,1716,1270,,823,619,,155,152.0,,12778,1154.0,10372,7917,748,3876,5699,54.17,59.07,2309,3700,2606
10,74.13681,31.29775,2610204,8304,4347,3957,,40.12,,874,682,,271,209,,29,17.0,,7620,684.0,5895,4366,434,2375,2867,44.36,48.18,1231,2086,1356
11,74.07588434,31.31240314,2610205,81508,42702,38783,23.0,54.85,21.74,11521,8430,2.0,5915,4100,1.0,981,909.0,,77508,4000.0,59631,45149,3983,23194,36267,61.08,66.68,12481,20339,14773
12,74.05606,31.34046,2610206,4345,2303,2042,,31.81,,357,189,,88,40,,9,3.0,,4340,5.0,3037,2288,231,828,1538,37.27,42.11,581,1087,556
13,74.17404,31.27221,2610207,14017,7748,6268,1.0,50.7,,1548,1047,,939,411,,126,78.0,,12407,1610.0,10599,8093,604,3145,6672,56.36,60.72,2035,3022,2022
14,74.05193,31.29366,2610208,10584,5451,5133,,48.44,,1387,1061,,605,459,,90,65.0,,9682,902.0,7684,5745,523,2995,4478,53.72,58.61,1755,2519,1716
15,74.09757975,31.38818073,2610301,13170,6880,6288,2.0,41.96,,1355,956,,559,308,,81,54.0,,12371,799.0,9284,6832,657,2625,4686,46.83,51.14,1839,2662,1546
16,74.154341,31.383976,2610302,36704,19738,16962,4.0,62.62,,5025,3442,,3332,2132,,1207,1061.0,,34783,1921.0,27501,21532,1834,9546,18204,68.62,73.63,5411,7207,5169
17,74.140136,31.407928,2610303,28391,14636,13750,5.0,69.7,60.0,2920,2480,,2198,2072,1.0,1855,1561.0,2.0,27270,1121.0,21518,16928,2020,8287,14914,71.64,73.43,4627,5930,4309
