,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.5257861,31.6359667,26001,200280,103523,96738,19,68.69,47.37,26635,22065,2.0,18024,15997,5.0,4488,4862,1.0,191602,8678,147898,113031,10043,49899,90389,71.22,73.57,46519,33743,30259,27778,1716,765,25213,29885,20128,23545,28497,29058,6.54
1,74.5248985,31.5648982,26002,81923,42642,39277,4,60.78,100.0,11113,9021,2.0,5212,4548,2.0,1006,1033,,78213,3710,59043,44009,3998,17977,32873,63.53,66.04,21284,14051,11140,9802,963,375,10225,11011,5080,8067,10449,10790,7.31
2,74.4619565,31.6466043,26003,109429,57427,51988,14,54.41,50.0,12764,10578,2.0,5891,5429,1.0,888,857,1.0,103381,6048,79350,59438,5244,27697,43833,55.69,56.83,28254,19135,16092,14182,1418,492,13665,15791,9957,11193,15430,15594,6.76
3,74.3635655,31.5819376,26004,40242,21167,19073,2,80.0,50.0,5633,4542,,5681,4467,,1917,1866,1.0,39441,801,31386,25065,2181,11030,21245,83.42,86.46,13081,10357,5757,5604,78,75,5228,5743,5551,5630,5710,5737,6.51
4,74.3695274,31.5805433,26005,19336,9870,9460,6,84.67,50.0,2929,2460,2.0,2270,2412,1.0,653,852,,19283,53,14959,11860,1209,5581,9896,84.95,85.25,6964,5528,3044,2821,153,70,2577,3033,2878,2198,3001,3037,6.31
5,74.36230458,31.58490287,26006,52299,26767,25524,8,82.22,62.5,7939,6593,3.0,5788,6094,,1477,1910,2.0,51968,331,40104,31386,3109,14224,25401,82.83,83.42,18270,14154,8257,8026,117,114,7811,8224,7955,7398,8176,8221,6.3
6,74.3611611,31.5884532,26007,51384,26334,25036,14,80.27,57.14,8271,6830,3.0,4523,5145,2.0,1052,1449,,49328,2056,38756,29993,2799,11634,23899,80.96,81.62,14940,10572,7731,7502,108,121,6874,7694,7523,6269,7597,7712,6.61
7,74.3675514,31.6048568,26008,131755,67948,63791,16,76.85,56.25,19199,15987,3.0,12934,13525,3.0,2889,3908,1.0,128370,3385,99148,77367,6971,37938,61322,76.78,76.72,33624,24172,20592,19256,756,580,18692,20285,19000,18236,20155,20163,6.34
8,74.3708783,31.5939189,26009,53123,27334,25768,21,81.72,61.9,7980,6486,4.0,6199,6415,3.0,1560,1877,4.0,52903,220,40439,31890,3193,14668,26134,82.57,83.39,14276,10990,8525,8362,76,87,8180,8505,8223,7968,8449,8504,6.2
9,74.3807722,31.5947806,26010,91984,47990,43984,10,73.38,30.0,13109,10757,1.0,7770,7971,1.0,1662,2055,,90490,1494,68126,52776,4271,23450,40841,74.09,74.74,19844,14067,14138,13487,328,323,13408,14060,12661,11527,13837,14058,6.48
10,74.37829614,31.58208831,26011,13988,7076,6912, ,87.93,,2088,1746,,1945,1990,,700,849,,13741,247,11004,8739,932,3529,7331,88.6,89.26,5295,4424,2210,2121,64,25,1937,2208,2151,1835,2190,2208,6.28
11,74.3726159,31.5689891,26012,29798,15068,14728,2,78.81,50.0,4332,3285,,3680,3589,1.0,1578,1862,,27374,2424,23428,18704,1821,7578,16441,81.64,84.42,10546,8870,4529,4456,41,32,4477,4508,4336,4235,4507,4523,6.43
12,74.3478564,31.5738847,26013,19631,10309,9318,4,79.96,50.0,3368,2459,2.0,2242,1890,,592,663,,18919,712,15146,12062,1052,6057,10636,83.28,86.23,6708,5312,3186,3020,116,50,2687,3164,3000,2680,3142,3164,6.12
13,74.3720395,31.5772322,26014,62068,32472,29582,14,80.15,64.29,9811,7074,2.0,7345,6711,3.0,2040,2274,1.0,61051,1017,47553,37478,3415,15111,32720,83.12,85.81,17198,13852,9749,9422,185,142,7190,9723,9205,8222,9633,9723,6.28
