,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.5257861,31.6359667,2600101,12871,6626,6245,,62.06,,1945,1580,,936,624,,134,106.0,,12671,200.0,9173,6597,580,3972,4823,68.78,75.11,3534,2408,1698,1465,190.0,43.0,785,1684,638.0,1006,1622,1659,7.52
1,74.4942752,31.6286946,2600102,8587,4476,4110,1.0,49.47,,898,726,,609,428,,89,97.0,,8304,283.0,5981,4479,394,2620,3375,53.6,57.37,2359,1853,1258,1118,130.0,10.0,949,1251,370.0,819,1098,1075,6.79
2,74.4961935,31.6006289,2600103,33999,17614,16381,4.0,69.79,50.0,4940,4014,1.0,3135,2662,1.0,652,637.0,,30748,3251.0,25492,19541,1802,7923,16059,73.93,77.79,11157,8327,5031,4693,252.0,86.0,4803,4977,4087.0,4024,4789,4847,6.7
3,74.4607903,31.5930642,2600104,46703,24037,22661,5.0,75.17,20.0,6078,5103,,4968,4822,,1640,1833.0,,45774,929.0,35361,27388,2362,10797,22548,76.15,77.1,9148,6713,7522,7245,169.0,108.0,6671,7449,5714.0,6522,7398,7082,6.17
4,74.489742,31.594839,2600105,26192,13539,12648,5.0,70.86,80.0,3614,3022,1.0,2192,2123,3.0,392,498.0,,25883,309.0,19301,14897,1235,5833,11707,72.9,74.79,5923,4410,3958,3716,174.0,68.0,3430,3864,2471.0,3066,3838,3931,6.28
5,74.54852623,31.60342426,2600106,758,409,349,,68.6,,119,103,,66,49,,9,9.0,,758,,538,413,50,208,325,73.61,78.21,367,224,102,95,5.0,2.0,89,102,46.0,73,97,102,7.43
6,74.501201,31.589896,2600107,11673,6097,5575,1.0,59.39,,1355,1085,,815,800,,158,186.0,,11393,280.0,8335,6366,583,2910,5023,60.19,60.92,2871,2070,1800,1331,341.0,128.0,1296,1791,1004.0,985,1263,1636,6.49
7,74.552815,31.606462,2600108,1661,873,788,,59.12,,199,174,,165,80,,11,8.0,,1646,15.0,1167,912,114,437,634,65.38,70.92,546,344,248,207,35.0,6.0,207,244,22.0,136,235,242,6.58
8,74.459151,31.580469,2600109,41172,21161,20008,3.0,71.39,66.67,5264,4375,,3863,3659,1.0,1212,1365.0,1.0,38305,2867.0,30791,23767,2155,11902,19590,72.47,73.48,6118,4468,6383,5983,154.0,246.0,5453,6280,4796.0,5442,6134,6338,6.39
9,74.533049,31.601889,2600110,10460,5412,5048,,54.65,,1264,1170,,793,446,,127,70.0,,9943,517.0,7408,5520,504,1949,3993,59.04,63.03,2777,1827,1499,1223,221.0,55.0,947,1484,544.0,955,1284,1392,6.94
10,74.5553133,31.6027,2600111,6204,3279,2925,,64.24,,959,713,,482,304,,64,53.0,,6177,27.0,4351,3151,264,1348,2312,71.5,77.97,1719,1099,760,702,45.0,13.0,583,759,436.0,517,739,754,8.11
11,74.5248985,31.5648982,2600201,7567,4003,3563,1.0,53.64,100.0,894,769,1.0,392,333,,47,52.0,,7436,131.0,5499,4099,382,1185,2991,54.25,54.76,1866,1214,1021,846,123.0,52.0,904,1000,471.0,803,899,944,7.37
12,74.4934526,31.5752937,2600202,27379,14230,13148,1.0,64.64,100.0,3493,2780,,1889,2009,1.0,531,597.0,,24963,2416.0,20207,15440,1313,6201,12215,65.61,66.49,6685,4915,4166,3818,233.0,115.0,3884,4112,2585.0,3068,3962,4042,6.54
13,74.5404387,31.5290604,2600203,15388,7882,7505,1.0,67.11,100.0,2267,1940,,1156,915,1.0,182,181.0,,14868,520.0,11024,8072,795,3005,6414,71.08,74.83,4507,2939,2082,1786,211.0,85.0,1865,2064,1168.0,1534,1994,2059,7.37
14,74.563814,31.562051,2600204,9647,5065,4582,,52.12,,1337,962,,550,398,,76,82.0,,9561,86.0,6731,4912,478,2552,3398,58.12,63.6,2479,1475,1124,1009,93.0,22.0,1024,1119,9.0,866,1091,1107,8.55
15,74.5182293,31.5487489,2600205,10836,5629,5207,,55.35,,1428,1207,,577,445,,85,73.0,,10578,258.0,7685,5709,505,3092,3812,57.77,59.97,2520,1552,1395,1265,103.0,27.0,1296,1378,686.0,794,1231,1337,7.69
16,74.5957733,31.5378163,2600206,3394,1761,1632,1.0,64.52,100.0,564,489,1.0,190,134,,14,12.0,,3326,68.0,2466,1842,185,382,1172,68.37,71.98,1023,590,407,332,56.0,19.0,388,407,2.0,345,385,398,8.19
17,74.5835044,31.5716917,2600207,1686,898,788,,53.77,,254,190,,100,50,,11,4.0,,1686,,1148,851,71,463,563,61.93,68.93,540,302,231,162,50.0,19.0,219,227,2.0,145,214,216,7.19
18,74.5226057,31.5775563,2600208,4718,2486,2232,,59.72,,704,546,,271,211,,48,30.0,,4501,217.0,3345,2388,213,831,1842,64.45,68.71,1316,865,565,472,70.0,23.0,496,556,157.0,373,526,539,8.34
19,74.6082241,31.5534698,2600209,1308,688,620,,50.45,,172,138,,87,53,,12,2.0,,1294,14.0,938,696,56,266,466,56.18,61.38,348,199,149,112,24.0,13.0,149,148,,139,147,148,8.78
20,74.4619565,31.6466043,2600301,12833,6703,6126,4.0,54.88,75.0,1521,1231,1.0,677,562,,95,64.0,,12321,512.0,9285,6862,644,3819,4946,57.43,59.71,3811,2581,1769,1544,161.0,64.0,1249,1756,1025.0,1264,1678,1734,7.24
21,74.5198345,31.6690839,2600302,4652,2407,2245,,41.74,,485,414,,108,84,,8,5.0,,3692,960.0,3242,2399,235,206,1498,45.06,48.09,1281,742,645,502,120.0,23.0,488,637,6.0,636,631,641,7.13
22,74.4720778,31.6459374,2600303,10975,5772,5203,,48.31,,1277,965,,537,353,,53,56.0,,10431,544.0,7688,5465,441,1290,3968,52.69,56.57,2405,1588,1475,1207,187.0,81.0,1124,1431,813.0,769,1382,1403,7.37
23,74.4356027,31.607359,2600304,14831,7922,6904,5.0,66.83,40.0,2039,1570,,1144,1119,1.0,219,212.0,,13669,1162.0,10948,8479,745,3838,6680,67.68,68.43,2693,1911,2321,2004,247.0,70.0,2102,2248,1407.0,1701,2227,2245,6.31
24,74.4104477,31.6113641,2600305,45416,23724,21687,5.0,50.38,40.0,4969,4251,1.0,2297,2232,,326,334.0,1.0,43508,1908.0,33121,24832,2123,13322,18496,50.52,50.64,12464,8404,6798,6194,475.0,129.0,5752,6653,5112.0,4840,6633,6613,6.66
25,74.4598667,31.6738301,2600306,3208,1670,1538,,48.18,,318,292,,171,108,,22,22.0,,3195,13.0,2380,1819,219,889,1155,51.18,53.86,1023,692,418,265,98.0,55.0,397,412,13.0,184,304,337,7.67
26,74.4528935,31.6016364,2600307,15320,8054,7266,,62.93,,1942,1697,,801,875,,133,142.0,,14515,805.0,11102,8401,732,4128,6331,63.33,63.69,3911,2808,2414,2248,105.0,61.0,2303,2402,1578.0,1645,2330,2373,6.34
27,74.493095,31.679609,2600308,2194,1175,1019,,57.61,,213,158,,156,96,,32,22.0,,2050,144.0,1584,1181,105,205,759,60.48,62.92,666,409,252,218,25.0,9.0,250,252,3.0,154,245,248,8.38
28,74.3635655,31.5819376,2600401,10588,5472,5116,,87.31,,1498,1206,,1461,1382,,574,649.0,,10516,72.0,8323,6529,731,2929,5562,88.55,89.71,3908,3169,1538,1507,20.0,11.0,1351,1538,1451.0,1525,1529,1536,6.72
29,74.3590293,31.579858,2600402,14416,7908,6508,,78.3,,1932,1475,,2665,1594,,734,618.0,,13771,645.0,11542,9447,630,3661,8138,84.73,89.88,3865,2991,1836,1795,13.0,28.0,1579,1827,1806.0,1787,1817,1829,6.56
30,74.349132,31.5793664,2600403,15238,7787,7449,2.0,76.34,50.0,2203,1861,,1555,1491,,609,599.0,1.0,15154,84.0,11521,9089,820,4440,7545,78.41,80.39,5308,4197,2383,2302,45.0,36.0,2298,2378,2294.0,2318,2364,2372,6.33
31,74.3695274,31.5805433,2600501,9901,5147,4748,6.0,86.43,50.0,1467,1222,2.0,1251,1266,1.0,384,498.0,,9861,40.0,7656,6137,663,2941,5179,86.38,86.38,3740,3060,1585,1424,112.0,49.0,1146,1581,1522.0,1136,1566,1580,6.2
32,74.36576937,31.58312842,2600502,9435,4723,4712,,82.89,,1462,1238,,1019,1146,,269,354.0,,9422,13.0,7303,5723,546,2640,4717,83.46,84.03,3224,2468,1459,1397,41.0,21.0,1431,1452,1356.0,1062,1435,1457,6.44
