,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.385946,31.49839,18801,58812,30984,27816,12,78.04,58.33,7502,6393,3.0,8178,5831,2.0,2679,2655,1.0,40221,18591,45958,36437,3463,15981,31730,81.61,84.81,16531,13000,9249,8589,532,128,7978,9209,8737,8182,9149,9239,6.15
1,74.359712,31.502633,18802,27475,15353,12121,1,79.41,100.0,3457,2442,,4464,2406,1.0,2147,2093,,23512,3963,22457,18435,2010,10322,16731,82.92,85.56,6287,5516,4360,4273,31,56,3402,4352,4224,3680,4301,4344,5.72
2,74.360992,31.492157,18803,49837,25625,24199,13,84.44,69.23,5973,4874,4.0,6325,6016,2.0,4357,3943,3.0,47245,2592,39330,31752,3580,11472,28486,86.98,89.37,13619,12003,8524,8315,97,112,6937,8490,8130,8244,8432,8496,5.78
3,74.364165,31.487954,18804,48249,24814,23432,3,82.2,,5436,4609,,6290,5326,,4438,4269,,40371,7878,38216,31190,3791,14534,28059,85.17,88.0,14779,12653,8353,8185,100,68,7270,8331,8096,7986,8314,8284,5.63
4,74.403236,31.493708,18805,51902,26324,25568,10,81.19,60.0,5349,4626,2.0,5572,5254,4.0,5202,4925,,50360,1542,40918,32978,4557,14837,29652,83.32,85.4,16534,14449,8523,8289,114,120,7320,8457,8213,7549,8456,8501,6.03
5,74.367059,31.484815,18806,77371,39963,37398,10,80.49,50.0,9147,7406,3.0,10085,8704,1.0,6143,5916,1.0,73154,4217,60918,49062,5687,20146,43992,83.5,86.31,20351,17551,13058,12803,100,155,10265,13002,12367,12467,12918,13037,5.85
6,74.366672,31.468441,18807,47023,24947,22059,17,69.42,35.29,5098,3369,2.0,3654,3403,2.0,4636,4209,,45214,1809,37216,29736,3921,16112,26211,72.32,74.87,10464,9256,8002,7826,117,59,4074,7896,7644,6380,7948,7987,5.77
7,74.364016,31.482236,18808,77889,40072,37799,18,68.89,33.33,10600,8313,4.0,7563,6724,1.0,2466,2448,,59203,18686,58918,45983,3925,22654,38253,72.86,76.61,20054,15137,12747,12487,161,99,10485,12708,11747,11263,12655,12728,6.09
8,74.351957,31.463611,18809,65743,34093,31629,21,72.82,57.14,9412,7604,5.0,6578,5813,3.0,1538,1570,1.0,63351,2392,49428,38901,3460,17139,31966,76.44,79.78,17075,12498,10058,9753,133,172,8488,10022,9517,8875,9853,10049,6.4
9,74.354159,31.457795,18810,54262,27915,26337,10,76.87,20.0,7644,6382,,5969,5393,1.0,1245,1259,,51696,2566,41147,32229,3147,16213,27308,79.65,82.29,16009,12214,8347,8175,74,98,8102,8328,7386,7965,8258,8338,6.49
10,74.361971,31.460461,18811,148978,77351,71606,21,81.82,71.43,14898,11926,7.0,15539,14760,5.0,17523,15484,3.0,144377,4601,118008,95457,12017,37944,86038,84.26,86.52,30902,26330,25591,24988,360,243,18453,25468,23824,23434,25370,25511,5.66
