longitude,latitude,circle code
74.385946,31.49839,1880101
74.389455,31.495114,1880102
74.390145,31.493086,1880103
74.3957538,31.4936356,1880104
74.389412,31.489856,1880105
74.393737,31.49057,1880106
74.359712,31.502633,1880201
74.370327,31.499592,1880202
74.37384,31.503723,1880203
74.360992,31.492157,1880301
74.360763,31.495745,1880302
74.370831,31.495188,1880303
74.367665,31.491634,1880304
74.364855,31.490949,1880305
74.364165,31.487954,1880401
74.356269,31.489301,1880402
74.358676,31.484278,1880403
74.350066,31.475235,1880404
74.347937,31.470525,1880405
74.35032,31.49526,1880406
74.340764,31.497048,1880407
74.403236,31.493708,1880501
74.407131,31.489154,1880502
74.400336,31.490987,1880503
74.40026,31.483171,1880504
74.394596,31.486377,1880505
74.39235,31.478449,1880506
74.367059,31.484815,1880601
74.370124,31.482022,1880602
74.368743,31.487016,1880603
74.372937,31.486056,1880604
74.370431,31.489633,1880605
74.375673,31.487714,1880606
74.37761,31.49402,1880607
74.384899,31.483333,1880608
74.386874,31.486963,1880609
74.366672,31.468441,1880701
74.374648,31.473838,1880702
74.373026,31.47917,1880703
74.382413,31.474424,1880704
74.389129,31.474239,1880705
74.3880918,31.4768189,1880706
74.364016,31.482236,1880801
74.366824,31.478684,1880802
74.361205,31.478454,1880803
74.365004,31.473706,1880804
74.357836,31.474949,1880805
74.360393,31.472871,1880806
74.366558,31.474093,1880807
74.351957,31.463611,1880901
74.3530582,31.4594829,1880902
74.3553163,31.4620715,1880903
74.358504,31.462411,1880904
74.359342,31.465619,1880905
74.356461,31.47022,1880906
74.354159,31.457795,1881001
74.355322,31.454505,1881002
74.353709,31.452001,1881003
74.360137,31.453039,1881004
74.361971,31.460461,1881101
74.377427,31.464053,1881102
74.363338,31.456146,1881103
74.3771,31.459907,1881104
74.406953,31.478618,1881105
74.413152,31.48438,1881106
74.413914,31.459727,1881107
74.40215,31.46764,1881108
74.417543,31.478177,1881109
