,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.385946,31.49839,1880101,7498,4606,2892,,70.11,,719,588,,1939,477,,385,344.0,,5340,2158.0,6058,4971,392,1937,4638,79.3,84.63,1688,1286,1016,1006,7.0,3.0,1004,1010,998.0,997,1011,1015,5.84
1,74.389455,31.495114,1880102,7145,3640,3503,2.0,91.99,50.0,946,909,1.0,1110,887,,496,521.0,,7076,69.0,5681,4432,455,1543,4030,94.07,96.12,3129,2631,1198,1177,10.0,11.0,1108,1198,1103.0,1121,1188,1198,5.95
2,74.390145,31.493086,1880103,8657,4468,4188,1.0,86.43,,1287,1083,,1179,1030,,438,478.0,,7861,796.0,6751,5291,555,2598,4847,89.29,92.0,2355,1903,1404,1367,9.0,28.0,1034,1399,1344.0,1387,1387,1400,6.13
3,74.3957538,31.4936356,1880104,13914,7110,6797,7.0,79.8,71.43,1771,1536,2.0,1918,1650,1.0,730,693.0,1.0,12336,1578.0,10774,8579,912,3913,7490,83.82,87.72,3031,2499,2213,2165,8.0,40.0,2038,2205,2133.0,1916,2183,2211,6.25
4,74.389412,31.489856,1880105,9645,5014,4630,1.0,81.68,100.0,1263,970,,965,910,1.0,368,336.0,,3428,6217.0,7544,6039,569,2253,4994,83.78,85.7,2784,2094,1569,1540,5.0,24.0,1408,1556,1478.0,1443,1553,1566,6.04
5,74.393737,31.49057,1880106,11953,6146,5806,1.0,62.06,,1516,1307,,1067,877,,262,283.0,,4180,7773.0,9150,7125,580,3737,5731,65.34,68.49,3544,2587,1849,1334,493.0,22.0,1386,1841,1681.0,1318,1827,1849,6.42
6,74.359712,31.502633,1880201,13251,6962,6288,1.0,73.04,100.0,2004,1532,,1337,1160,1.0,412,451.0,,10524,2727.0,10442,8162,697,4454,6878,75.83,78.32,3305,2701,2117,2083,13.0,21.0,1641,2116,2047.0,1542,2100,2109,6.08
7,74.370327,31.499592,1880202,5502,2857,2645,,88.13,,432,262,,455,512,,1096,1069.0,,5402,100.0,4644,3973,822,1963,3793,88.2,88.26,1760,1780,1068,1034,7.0,27.0,795,1063,1039.0,993,1039,1062,5.15
8,74.37384,31.503723,1880203,8722,5534,3188,,84.21,,1021,648,,2672,734,,639,573.0,,7586,1136.0,7371,6300,491,3905,6060,89.64,92.41,1222,1035,1175,1156,11.0,8.0,966,1173,1138.0,1145,1162,1173,5.58
9,74.360992,31.492157,1880301,15385,7977,7404,4.0,77.03,100.0,2123,1654,2.0,1871,1668,1.0,651,618.0,1.0,14813,572.0,11867,9370,900,4644,7952,81.03,84.72,2927,2298,2451,2407,25.0,19.0,2420,2448,2389.0,2442,2436,2442,6.24
